mean,CI.lower,CI.upper,RMSE,CV,ID
252.5667431,244.1452483,260.7460928,4.24485502,0.016806864,C1057
257.9453823,250.8227722,265.1563111,3.677109234,0.014255379,C1093
279.9678472,271.7043664,288.237906,4.212812121,0.015047486,C2020
277.0590967,269.8253412,284.6199061,3.810483199,0.013753323,C2170
265.4186897,258.4120782,272.6616663,3.595088574,0.013544971,C4013
266.2873633,259.1589939,273.2925472,3.566962843,0.013395164,C5007
271.3038917,263.8958459,279.1249468,3.940712556,0.014525087,C5045
269.9878955,262.1106414,277.8480006,3.97666355,0.014729044,C6001
240.4027556,233.0245997,247.6666802,3.745926087,0.015581877,C6029
248.2158837,242.4441716,254.0772115,2.957908548,0.011916677,C6037
264.5232374,257.2332759,271.2702573,3.543100643,0.013394289,C6059
247.261388,239.7666826,254.5535161,3.762758612,0.015217736,C6065
263.2851272,256.1721699,270.3959702,3.55574106,0.013505286,C6067
267.3377346,259.8148405,275.5971235,3.992368071,0.014933799,C6073
245.5605891,236.9855121,253.4164317,4.098009441,0.016688384,C6077
273.9392936,265.5300031,281.97908,4.128578805,0.015071145,C6081
255.6308938,248.5120325,262.7700254,3.613714353,0.014136454,C6083
273.0634717,265.8470208,280.3127424,3.707204146,0.013576346,C6085
273.2928425,265.5848262,281.0507159,3.932015834,0.014387555,C8005
292.9208495,284.6771698,300.7697145,4.071857687,0.01390088,C8035
282.7353252,275.4193104,290.2070337,3.811531021,0.013480915,C8069
270.6839722,262.1602448,279.5684001,4.398021214,0.016247808,C9003
279.1703664,272.5341986,286.0703385,3.444143812,0.012337068,C9005
280.4808845,273.0527046,288.2124592,3.774641645,0.01345775,C9007
265.8997651,258.1899377,273.2625162,3.824837538,0.014384509,C10003
276.607444,268.3953499,285.2042628,4.276994433,0.015462326,C11001
258.7404205,252.188983,265.3062283,3.286987728,0.012703805,C12011
240.8747197,234.1398891,247.9127942,3.475101288,0.014427007,C12039
260.7075614,252.6674017,268.0610982,3.949678846,0.015149844,C12057
236.4084445,226.0958037,246.2013925,5.122774529,0.021669169,C12086
261.3312705,254.6707995,268.174036,3.448541918,0.013196055,C12095
268.9295071,261.0965408,276.0987904,3.748322084,0.013937935,C12103
260.5950723,252.5685615,268.1176204,3.94660775,0.015144599,C12127
249.9414721,243.5303851,256.5783732,3.314680538,0.013261827,C13021
240.9886638,232.9301416,248.6704824,4.05316658,0.01681891,C13035
261.5264624,253.2196977,268.9801296,4.009223406,0.015330087,C13051
266.2626095,258.1997245,274.027073,3.970553296,0.01491217,C13077
262.3630103,254.8351504,269.717139,3.774283167,0.014385729,C13089
271.7369843,263.791866,279.1546234,3.919309504,0.014423173,C13121
252.4252848,245.504178,259.4181276,3.568147571,0.01413546,C13129
247.0744801,237.4693169,255.8203055,4.610109563,0.018658785,C13149
253.3131509,244.8068332,261.4123227,4.19921387,0.016577165,C13171
245.2165555,237.2694456,253.6178237,4.215703331,0.017191757,C13213
239.9160403,230.419164,249.6070219,4.948922184,0.020627725,C13319
271.9033162,263.6840616,279.6793262,4.149040463,0.015259249,C15003
261.0631415,252.1652768,269.4407713,4.397549108,0.016844772,C17013
259.26094,252.739446,265.5375716,3.264298899,0.012590786,C17031
279.4761171,271.3744093,287.0926036,3.91833219,0.014020276,C17043
260.3906163,252.9442381,267.7617695,3.71502455,0.014267121,C17075
272.0277114,265.4477134,279.0084998,3.4027239,0.01250874,C17083
276.7698401,268.3703639,284.198702,3.969049716,0.014340615,C17113
273.7344022,265.744447,282.0399756,4.121309235,0.015055869,C17129
273.7372061,267.2642497,280.1903764,3.249870947,0.01187223,C17167
270.8181939,262.8042163,278.5520159,3.872764522,0.014300238,C17197
262.6782872,255.3382175,270.3726144,3.800335034,0.014467641,C17201
254.0721565,247.3263428,260.9043098,3.466590867,0.01364412,C18041
261.7280897,255.1069209,268.6296631,3.429137126,0.013101907,C18097
256.8565279,248.9803744,264.8260176,3.990119613,0.015534429,C18139
278.1649818,270.9752731,285.9642493,3.859628177,0.01387532,C19153
267.7544527,260.7044848,274.6530478,3.641815716,0.013601326,C20191
241.5814782,233.3689671,250.0792243,4.331558442,0.017930011,C20209
265.2514053,257.4963509,272.8015657,3.862229024,0.014560635,C21005
245.0208156,237.1935062,253.3317727,4.11821049,0.016807594,C21053
253.3290406,244.6202219,261.1505999,4.153434246,0.016395413,C21057
247.2077524,238.6871325,255.7525285,4.358114755,0.017629361,C21071
267.2111158,259.9226343,274.8057944,3.713815388,0.013898431,C21073
262.7702655,254.809005,269.7437645,3.751167238,0.014275463,C21113
242.9535868,233.7415419,252.122783,4.698226315,0.019337958,C21159
249.2397112,241.7777298,256.8776447,3.856718115,0.015473931,C21171
260.2329271,252.1320087,268.2967921,4.13761687,0.015899667,C22033
214.6233304,202.7867024,226.138605,5.937748818,0.027665906,C22035
220.2753301,210.6951987,229.8561163,4.921991705,0.022344725,C22065
270.083948,262.8334774,277.4438736,3.655748967,0.013535603,C22103
239.9676025,228.9342959,250.1241848,5.279322338,0.022000146,C22123
276.2834623,267.8691157,284.1877753,4.160295499,0.015058069,C24003
279.4545133,271.0194894,287.9940701,4.226091533,0.015122645,C24031
248.1269474,239.3092589,256.8637314,4.393566732,0.017706931,C24510
281.3660401,273.4538386,289.1796754,4.046844396,0.014382846,C25017
278.5711817,271.2243803,285.9586571,3.801578051,0.013646703,C26065
278.3144577,270.5713159,285.7820151,3.832225778,0.01376941,C26077
264.3776112,256.9365738,272.3352179,3.922886023,0.014838193,C26113
285.1898504,278.2065585,292.3035147,3.552188584,0.012455522,C26125
257.9262755,249.9406937,266.5738927,4.242490514,0.016448462,C26163
264.4061543,256.2311268,272.0147098,4.030496331,0.01524358,C26165
268.7327104,260.5437813,276.9963126,4.129940652,0.01536821,C27001
274.3670162,266.757352,281.9448059,3.854370783,0.014048229,C27035
274.8354189,268.1163486,282.4011762,3.631122977,0.013211991,C27045
284.6593022,278.066478,291.5774916,3.453349909,0.01213152,C27053
275.8338313,268.190985,283.0586769,3.839655073,0.013920175,C27055
282.3804612,275.6946051,289.1095788,3.425700701,0.012131508,C27141
245.2101899,237.4359251,252.5658811,3.871021906,0.015786546,C28043
224.733983,215.777385,232.9960772,4.363793663,0.019417596,C28135
245.697845,237.2757836,254.3741033,4.362878709,0.01775709,C28161
256.1338173,248.2732208,264.9058106,4.233338843,0.01652784,C29013
246.8981362,238.9077325,254.4562097,3.892086632,0.015763937,C29017
261.6083096,253.9162041,268.430951,3.696599894,0.014130285,C29031
273.5395524,266.5566105,281.1550184,3.631246901,0.013275034,C29037
271.3031373,264.3724822,278.2130766,3.539689625,0.013046991,C29077
260.3525368,253.2814442,267.4721481,3.626139371,0.013927805,C29113
280.6375656,273.2332696,288.083401,3.685458689,0.01313245,C29183
254.2459471,247.691313,260.6888426,3.354657498,0.013194537,C29187
274.9021454,265.0877491,284.0183042,4.771348767,0.017356535,C30009
271.8631843,263.910058,279.6185298,3.970348712,0.014604216,C30111
241.1788953,229.8769174,252.2577335,5.722404033,0.023726803,C31037
278.0561306,270.3329765,285.677445,3.914645163,0.014078615,C31109
263.1229017,254.8129484,270.7218923,4.057044628,0.01541882,C31119
275.5287627,266.0523593,284.0460283,4.557115387,0.016539527,C31159
268.4547403,259.4806262,276.8037496,4.348128093,0.016196876,C31167
251.8164358,244.3230834,259.3892354,3.794735064,0.01506945,C32003
277.4831773,269.838448,285.4020322,3.903976647,0.014069237,C33009
253.0373553,245.287384,261.2268911,4.005982243,0.015831584,C34001
264.8885262,256.8103038,272.4008876,3.931935131,0.014843735,C34023
266.5365983,258.8220385,273.9637098,3.862335877,0.014490828,C34029
280.7957681,273.6973862,287.8729257,3.60513971,0.01283901,C34035
277.689655,270.6860113,285.0153642,3.668089271,0.013209312,C36001
248.3813828,241.7578592,255.0135273,3.345105743,0.013467619,C36047
270.2214924,261.2518548,278.0921697,4.186855682,0.015494162,C36059
272.6285108,264.9095191,280.8071624,4.015877999,0.01473022,C36061
263.220897,255.5997959,270.7297894,3.837529732,0.014579123,C36071
244.010387,236.1533973,251.1786807,3.944287844,0.016164426,C36081
260.570617,253.7727491,267.3741739,3.427408402,0.013153472,C36085
262.6091291,255.9552642,269.5459489,3.42027642,0.01302421,C36099
267.0334268,259.520775,274.349623,3.770184779,0.014118775,C36103
269.2650444,262.1296681,276.938678,3.79192303,0.014082493,C36119
261.644029,255.0465494,268.1202351,3.381147304,0.0129227,C37009
269.0732407,261.8820743,276.5224919,3.678916841,0.013672548,C37063
247.9415366,240.6448825,255.6089805,3.808830345,0.015361808,C37107
263.7129191,255.8521455,271.8374927,4.104417289,0.01556396,C37113
270.7474626,263.7816903,277.702843,3.588631534,0.013254534,C37119
251.5537694,240.7487259,262.2619314,5.465699816,0.02172776,C37173
273.9279061,266.931779,281.1432385,3.59284761,0.013116034,C37179
282.1407633,273.361242,290.681306,4.39314716,0.015570764,C38017
277.6470224,268.2368337,286.736991,4.687747454,0.016883838,C38097
266.3195915,258.57221,274.4670041,4.033611619,0.015145756,C39035
264.4202254,257.4478137,271.6130674,3.605010384,0.013633641,C39117
256.833906,249.6096706,263.5301302,3.569608083,0.013898508,C40037
268.269736,259.9295822,276.0403581,4.081058482,0.015212519,C40143
280.3577418,273.2394415,288.3273188,3.807550645,0.013581043,C42003
256.7618782,250.2594155,263.3837139,3.325486993,0.012951638,C42009
280.0271876,273.596921,286.3065376,3.236449479,0.011557626,C42017
278.6853273,270.7698315,286.9121284,4.112188645,0.01475567,C42027
270.2830109,263.4843814,276.8766283,3.407125824,0.012605771,C42045
263.0003307,254.2441525,270.6516799,4.176130233,0.015878802,C42069
285.0728268,278.3388711,291.9272436,3.430196655,0.012032703,C42091
244.6287512,237.5361148,251.5823783,3.631963414,0.014846838,C42101
271.9006697,264.6599944,279.7100306,3.826924996,0.014074717,C42103
274.7569273,268.1392811,282.1350808,3.561206272,0.012961297,C45091
269.1149166,260.0034667,278.655122,4.688444923,0.017421721,C46087
271.1481012,262.6788007,278.8719506,4.16367376,0.015355718,C46099
254.987523,246.0756487,263.8028112,4.475699342,0.017552621,C47023
265.4137327,257.8013767,273.5578588,3.992305239,0.015041819,C47037
272.4218171,265.3756699,279.6424506,3.589272913,0.013175424,C47093
253.762454,245.4821305,261.4009901,4.073005029,0.016050464,C47113
267.6787351,260.7109514,274.7774055,3.536044322,0.013210031,C47125
252.4726,243.6741184,260.6024732,4.296915706,0.017019335,C47157
256.7057506,247.4428481,265.6298731,4.570020246,0.017802563,C47161
259.3587566,249.8112681,268.8633024,4.85653438,0.018725161,C48059
216.941146,207.1092917,226.3397065,4.918499709,0.022672046,C48061
247.2641953,239.5657301,254.8953944,3.853534206,0.015584683,C48073
246.7045152,239.5933771,253.6424173,3.52237526,0.014277709,C48113
247.7660411,241.1427025,254.1282283,3.29062388,0.013281174,C48201
265.4476372,259.3560575,271.147721,3.002922247,0.011312673,C48339
262.5023597,254.9687539,270.5431561,3.92220709,0.014941607,C48439
262.276298,254.5350163,270.8769869,4.186611796,0.015962601,C48441
270.9766623,264.3385824,277.975219,3.508087761,0.012946088,C48453
216.9246301,208.3967023,225.3054358,4.32179105,0.019923008,C48479
263.2550509,254.409054,271.1847146,4.341190795,0.016490437,C49007
267.4479562,257.9829922,276.5919799,4.693089449,0.017547674,C49015
265.1227906,254.032885,276.3064168,5.665010571,0.021367498,C49019
270.6061989,261.9521918,278.83998,4.264483955,0.015759003,C49035
291.4221889,283.7928813,299.0206801,3.862681129,0.013254588,C51013
280.9147475,271.7988997,289.0383161,4.375365621,0.015575422,C51059
256.5708545,248.5554519,263.4538953,3.857354847,0.015034267,C51109
255.4113435,248.2466418,262.714195,3.659413754,0.01432753,C51143
280.2107799,273.1046333,287.6225113,3.692857567,0.013178856,C51510
250.2139076,242.3689615,258.7417519,4.168694919,0.016660524,C51590
282.2947441,273.7673615,290.5814654,4.277873342,0.015153925,C51600
300.0002616,291.6406915,308.6945232,4.262457313,0.014208179,C51610
259.6501938,251.6500613,267.5236959,3.981249654,0.015333128,C51710
277.692894,270.631684,284.8120006,3.548209256,0.012777458,C51810
282.4957499,274.0488729,290.7620444,4.236682608,0.014997332,C53033
265.5523164,257.2737936,274.1646501,4.25544521,0.016024885,C54011
273.8148769,265.828806,281.4940149,4.006523303,0.014632234,C55073
279.3690009,272.3932767,286.6690881,3.582779529,0.012824542,C55087
261.7425851,252.204958,271.2489129,4.824782517,0.018433311,C1001
270.2237802,260.9165365,280.0020847,4.82855385,0.017868723,C1003
235.7682149,225.4198439,246.3559028,5.282732819,0.022406467,C1005
248.0320424,238.1390032,258.0633223,4.995926431,0.020142262,C1007
258.430085,248.8904533,268.3318177,4.901423738,0.01896615,C1009
227.2213902,215.4446325,238.8476568,5.862899769,0.025802587,C1011
242.9294439,232.9083094,253.3003848,5.115358778,0.021056973,C1013
256.7780699,247.1468682,266.5053706,4.80166723,0.018699678,C1015
247.0734709,236.8830763,257.1439279,5.122255611,0.02073171,C1017
254.7551359,245.6355617,264.4719916,4.769265791,0.01872098,C1019
249.0755522,239.1448246,258.9560369,5.030750145,0.020197687,C1021
243.9168369,233.8658695,253.7151954,5.03781929,0.02065384,C1023
241.3492911,230.720502,252.1085611,5.387803612,0.022323677,C1025
247.5033009,237.3764873,258.1998527,5.257218622,0.021241004,C1027
251.521695,241.5309864,262.1399321,5.119991248,0.020356062,C1029
261.7001332,252.3564186,271.2034778,4.678636599,0.017877853,C1031
259.1934306,249.662699,268.6938168,4.785879247,0.018464508,C1033
232.4427568,222.1677614,242.7690163,5.214804895,0.022434792,C1035
242.4819365,231.8044607,253.6754864,5.635894156,0.023242532,C1037
256.8061336,247.622354,266.2791867,4.781632489,0.018619619,C1039
250.3590195,240.6033215,259.87485,4.896443247,0.019557687,C1041
258.4722472,249.2239826,268.0705086,4.861686973,0.018809319,C1043
259.8819938,250.5840215,269.551011,4.863407145,0.018713906,C1045
237.4823408,226.4383803,248.453136,5.637250279,0.023737556,C1047
246.7625702,236.8129799,256.8932074,4.939348604,0.020016604,C1049
261.7552124,252.2481684,271.5204988,4.891351496,0.01868674,C1051
240.1300509,230.1324761,249.9317525,4.964612808,0.020674684,C1053
256.9421525,247.7640338,266.4852118,4.759747321,0.018524587,C1055
246.3524069,236.5705041,256.1611806,4.908311279,0.019923943,C1059
251.6893276,242.1297398,261.5047016,4.85690774,0.019297234,C1061
228.7624707,216.7148084,240.6922431,6.074018377,0.026551638,C1063
236.6116312,225.9435662,247.1244249,5.393981034,0.02279677,C1065
251.5199376,241.5367334,261.2779757,5.049106723,0.02007438,C1067
257.1720138,247.8847759,266.5104773,4.735915654,0.018415362,C1069
254.7484668,245.0261217,264.4955075,4.906130313,0.019258724,C1071
262.0149691,252.0177805,271.8692512,4.962437115,0.018939518,C1073
252.3507514,242.7619352,262.328417,4.88997265,0.019377682,C1075
259.9721173,251.0381405,269.3095079,4.678003806,0.017994252,C1077
248.9762775,239.5340982,258.5949109,4.844527695,0.019457788,C1079
268.6215445,258.6787145,278.6865047,5.018062441,0.018680789,C1081
261.006233,251.4182662,270.5413971,4.766146066,0.01826066,C1083
231.9805497,220.7323659,243.1572339,5.660740339,0.024401789,C1085
237.215884,225.8805067,249.1394169,5.870837986,0.024748924,C1087
273.3238234,264.0251524,282.7834017,4.794839979,0.017542708,C1089
242.9890499,232.7846695,253.3192451,5.236035941,0.021548444,C1091
255.2337697,245.0872409,265.0219652,4.985183636,0.019531834,C1095
255.7875374,246.1789871,265.2121168,4.855772183,0.018983615,C1097
237.8391867,226.6969352,248.9929699,5.711545102,0.024014315,C1099
254.3394335,244.1129263,264.5804628,5.127990702,0.020161996,C1101
259.2668341,249.9083854,268.9117166,4.721780109,0.018212048,C1103
228.8412906,216.8096776,241.1057521,6.087975827,0.026603485,C1105
243.6212011,233.9973132,253.6722656,5.00230457,0.020533125,C1107
249.9447951,240.1181824,259.5746187,4.96843871,0.019878144,C1109
250.5203293,240.4821626,260.0977348,4.918698579,0.01963393,C1111
248.5906494,238.7835602,258.6541832,4.979654405,0.020031543,C1113
259.7307148,249.9695441,269.5467852,4.85299073,0.018684701,C1115
279.1871388,269.1024447,288.8875627,4.997074751,0.017898657,C1117
231.3824782,219.9591715,242.8896811,5.813616114,0.025125568,C1119
249.9552547,240.4782281,259.4261809,4.881095936,0.019527879,C1121
252.5392854,242.6084897,262.2457266,4.904294143,0.019419926,C1123
261.7453693,252.269623,271.40843,4.848358085,0.018523186,C1125
252.6397597,243.0375578,262.3987479,4.870712324,0.019279279,C1127
246.863347,237.1094936,256.6021509,4.966097044,0.020116786,C1129
228.6850858,217.6008758,239.4871072,5.611471891,0.024537988,C1131
253.5930602,243.7514987,263.7500056,5.0438053,0.019889366,C1133
253.1413966,233.1494868,273.6274602,10.24801074,0.040483346,C2013
261.4869582,250.0534387,272.6772437,5.760186534,0.022028581,C2016
247.5340601,236.3361697,258.948172,5.76005401,0.023269743,C2050
271.3567654,259.8966846,282.7223139,5.697133092,0.020994992,C2060
