C01001,C01003,C01005,C01007,C01009,C01011,C01013,C01015,C01017,C01019,C01021,C01023,C01025,C01027,C01029,C01031,C01033,C01035,C01037,C01039,C01041,C01043,C01045,C01047,C01049,C01051,C01053,C01055,C01059,C01061,C01063,C01065,C01067,C01069,C01071,C01073,C01075,C01077,C01079,C01081,C01083,C01085,C01087,C01089,C01091,C01095,C01097,C01099,C01101,C01103,C01105,C01107,C01109,C01111,C01113,C01115,C01117,C01119,C01121,C01123,C01125,C01127,C01129,C01131,C01133,C01057,C01093
278.6618883,261.4695256,302.2619087,254.6208214,241.798909,269.1023149,261.7617708,287.2375539,285.6874119,255.832321,280.2401251,274.0043601,257.7734188,257.0047374,279.6343907,221.1721551,254.7991048,286.9559183,280.9207856,237.7704865,270.5536841,255.4284694,258.6106425,280.1454452,291.8598346,260.7894749,253.0636396,273.601477,269.5764931,266.094936,295.3786715,241.7604135,297.3528687,256.0674567,292.8830441,254.738473,273.1409394,270.2498197,225.9929263,269.7657282,255.8452179,277.2719027,257.6666011,239.1464521,291.1219683,290.9933373,247.6034665,259.7607309,321.7285907,259.7553405,274.9891513,235.7575229,285.0097222,265.3932683,254.306432,272.4644735,229.500716,242.2005816,247.8042234,237.1682833,246.5125206,263.3622992,298.8542756,262.6443941,259.6918246,254.5477893,225.508889
254.9280636,253.3644191,263.7670497,266.6860392,281.2647408,257.5889089,286.5197118,244.3540877,286.7433981,263.4087103,271.3226148,261.4055226,274.0542676,290.7480507,270.3073702,251.9142566,264.3498985,292.716345,261.2504265,283.1828169,251.4438717,268.2673081,254.7692164,248.5327608,254.3664426,255.6399811,282.0965946,255.983987,268.1559942,269.4954447,256.6253879,248.7813699,266.7449845,266.3962343,262.6842162,271.3596641,279.7859266,301.8655791,291.3029484,268.792836,305.9040086,262.5837364,282.0002744,275.9209515,250.6781244,258.425961,275.9491588,283.134709,244.8754224,278.0711256,277.5564679,255.0913474,311.4283695,276.6289539,258.797819,299.0844013,270.1190989,258.3074255,265.6508805,233.187295,288.1264449,241.1833518,263.8634616,258.838013,290.61697,279.909404,260.1517094
225.9351617,245.8350663,290.323517,235.9249401,284.6321893,253.2802284,234.7289296,282.1908838,275.527559,261.5519675,252.1138748,266.5727215,258.7819563,251.5357796,301.0954511,290.9663336,266.8735389,230.8957411,248.933498,241.6688768,274.4874609,255.90207,247.2734439,258.5496712,267.1383876,247.5644591,290.7119444,239.0400355,251.887825,259.5312419,278.5736247,287.4798715,290.4629162,289.8971543,264.5106903,263.9863842,279.788565,260.124595,245.8165901,254.418141,284.4852211,264.0880754,235.8830074,287.5517483,286.0674133,285.541882,245.0844168,260.6673211,239.3030512,248.0202385,236.3189945,262.2285517,273.6731265,305.4856995,264.6987833,281.5094013,263.9755754,274.7675823,253.9179777,281.7486912,287.6654663,274.5680507,248.4221662,276.798818,248.9869629,289.0014888,265.9743311
271.9451304,279.0399671,256.3912015,247.8991073,261.2513956,252.3180708,304.9567484,267.3923957,243.4586295,234.9516003,277.1489717,299.9021775,294.7558539,244.5594069,297.9627548,260.1274966,277.6102991,242.2851177,253.2130784,257.3550524,267.5226207,269.5384373,260.7222666,268.7563179,258.1324258,304.5264521,259.7566426,257.810797,249.8758733,238.4200264,299.944546,269.5195281,268.6547171,276.0221386,281.9976397,266.9854786,260.4459913,240.6054566,251.697302,263.8933888,273.6523613,270.0294979,252.0898417,324.5001567,266.2011366,268.8966127,266.8751526,253.9744312,258.020585,268.3609534,244.5313989,268.7154637,292.4011816,273.1426434,257.1786303,249.4213002,236.6021937,265.442101,258.8825963,282.0766329,272.8460654,242.8452258,267.1015792,268.3050635,280.0984801,263.1787258,272.3215653
273.0338146,248.0006069,278.0057825,257.4547029,230.992952,245.8785961,230.4962977,308.0642553,258.3301062,250.8031828,279.1957925,248.4646897,243.6192245,288.6157819,281.1198229,290.7081376,284.9122944,249.3974454,259.0003898,215.5519619,268.4397159,258.0293044,299.3405373,264.5132376,281.5583215,268.3236356,280.9180063,246.3619685,289.9137561,253.5349702,279.2424779,300.1857132,267.2754837,286.0620153,254.932079,289.5119883,283.4581969,239.9437574,285.1031313,289.7681296,288.2923918,250.2333099,266.6599023,244.4926224,274.986329,260.3109492,262.1245022,270.1106399,247.7907661,291.4829023,232.7496343,289.5304795,264.2683737,294.0687408,246.3201237,229.2253832,251.6019501,239.1391372,212.1367896,281.721058,267.9048371,259.1543313,255.2738123,250.6084615,243.6681669,233.6141545,259.4674933
267.306504,256.4911904,274.5333295,259.2853425,277.6331778,267.5626788,251.4258675,264.5548765,244.9582748,300.6609609,240.2964588,257.7570908,266.1719551,247.1989426,240.5627942,283.9696799,306.9805526,246.6714332,240.7501095,278.0660689,250.59434,242.2490294,270.2472388,240.1853338,283.4693404,259.0408886,274.7543585,299.8756801,281.9907622,269.3586072,239.3571265,258.6858363,239.4621618,281.8836268,262.0163913,296.4385927,241.6686019,274.2801482,267.7128616,261.0170483,271.2504949,232.043234,231.2456866,270.3853066,247.1848835,236.4371766,261.502924,273.3474975,269.2070845,271.0913325,282.3234272,260.5184685,224.81368,246.4661853,240.0463765,280.037013,262.7699066,263.547076,258.3161948,259.3589693,270.1989145,265.597352,271.3991806,268.7646001,238.1343516,274.3634529,216.7220212
250.9217019,260.4335938,277.4993613,266.62649,251.7994414,294.9322286,254.6047416,260.3668244,276.4657833,227.0588673,237.4574195,277.6323733,290.3052476,267.4683328,252.5670678,267.0361068,219.1236418,290.9463034,255.9069128,286.8890431,253.1251611,250.5313511,281.8774348,251.8308729,268.7141401,258.0234316,263.4284517,289.3769344,286.6900244,260.984317,260.4320443,245.4738505,266.095845,239.1112023,295.9902906,273.5792176,266.9848633,240.0802111,246.5433988,253.2215492,268.8541333,252.931588,250.3621794,266.5241084,287.6272279,241.4300764,252.2438197,271.038084,246.454341,245.0404804,227.1749869,244.5931874,276.3065139,254.0033547,279.3086202,258.085069,262.706343,271.7328385,271.5636252,253.0057894,235.4182446,269.6706021,246.2345512,253.3746957,217.8336227,218.7747002,237.1212584
272.1944008,278.7398579,239.1445452,263.3205229,203.7103335,263.0947949,253.6187397,261.6589873,304.0130501,265.4877022,281.5940703,255.7629056,253.6323942,277.6145785,269.471744,250.4484149,266.3788417,258.0638767,273.6018962,270.50777,250.8622603,259.8371042,282.9288187,251.0920639,267.8195904,277.1840877,241.5229523,237.0910975,276.6449309,239.7817438,267.9401621,258.9400574,285.4998118,273.8220401,253.3580643,264.5842962,241.3661697,283.3990844,271.8943604,243.1227507,249.86531,244.8426148,287.48395,285.3755158,237.4202624,275.6109988,271.102297,280.8304363,294.2613966,245.1872205,255.0972816,272.7071425,259.0146073,266.4886961,235.8476724,289.2594407,278.0432117,230.2048676,267.7959412,265.4334848,257.0289174,284.1122518,297.7436226,261.1388664,281.7091796,265.3332791,245.5899089
260.5796716,274.0738904,257.7074176,271.314192,255.4293553,291.8159895,265.336029,239.0833459,260.0814718,267.5386693,313.8898444,245.6955363,277.5275593,279.1624458,265.7915121,233.1151405,238.455446,299.2338192,278.5345073,278.4371426,226.8775596,251.1829263,251.2320811,232.0426073,283.6659447,242.3016723,280.7824362,233.5686736,282.5412733,283.132351,256.7574609,294.153131,245.2717344,261.1470237,294.9697942,238.8693968,237.2857647,285.6015085,239.7430803,230.2495562,270.9756666,284.714802,236.3169177,249.4500746,295.7328983,229.0643702,238.1384653,292.8002452,216.8745728,276.7781367,257.4898384,228.2170134,255.6639225,309.176244,260.4284913,270.8744569,298.4267916,270.9857631,303.8354763,248.7315752,243.6344175,271.0606034,255.3776734,272.4834881,252.4634329,252.2713973,278.4102384
242.0074915,237.7059176,235.8195199,301.3525011,279.2696927,275.9121732,286.2146567,285.0711564,274.0938766,242.7023466,257.2258478,289.203124,239.3705608,253.350514,269.4303506,258.1987213,254.0402812,262.3561301,243.8165271,263.6728026,260.4247311,255.8041055,260.4276359,206.1409815,273.309439,219.7799565,242.8259072,262.3281886,270.6286209,253.5136454,247.5642294,271.3641028,246.9201327,307.3540235,284.3825434,297.0994516,243.1655003,272.195771,222.2701243,251.575006,224.699582,250.2332987,236.3406665,268.8071441,249.1582102,247.1256587,267.4972585,242.9680557,254.0868253,267.5452845,290.16584,303.6559898,228.7343284,246.6206737,233.869027,275.3196968,276.2727932,254.5984433,278.3163173,241.6158436,237.394935,284.0598267,256.8807752,272.2315245,277.5295134,272.1558019,249.5336606
