C02020,C02170,C02013,C02016,C02050,C02060,C02068,C02070,C02090,C02100,C02105,C02110,C02122,C02130,C02150,C02158,C02164,C02180,C02185,C02188,C02195,C02198,C02220,C02230,C02240,C02261,C02275,C02282,C02290
246.7363302,295.5613067,236.0237356,273.6356614,260.0206252,238.341826,276.3908325,295.4731236,253.4542111,226.0384336,269.2164124,243.8716515,260.3930364,238.6186886,257.6406614,258.8499457,252.2232737,251.1912065,295.3788998,265.917458,263.0953556,248.1524742,248.3889035,251.0181682,270.6110608,249.7899741,238.9548317,291.1310028,299.8523397
269.4426454,271.0556339,256.8918292,233.597194,251.9104378,290.9177458,263.0984954,265.3787582,253.470762,255.6961986,271.8161961,236.4183329,249.6924744,291.3054998,259.9532516,255.8728603,291.8411189,253.9971313,253.6438259,250.6424056,207.6011091,289.7597401,267.8964891,222.2701318,222.6013944,273.7285751,292.1104175,247.4815658,289.4043107
262.3676896,259.6524651,257.8164355,243.4134816,262.2956117,263.2896243,289.1777519,261.4956655,279.9888266,282.6502764,274.044686,252.9657318,249.4378521,311.2996707,289.6673829,293.8072262,272.5542551,299.7612156,280.9536566,238.20585,277.212468,253.0658584,259.1741473,243.348673,249.0538229,290.7025954,225.1072614,237.4104945,250.1174194
257.3860009,282.1645121,300.5598752,274.6770955,263.4825585,255.4446339,317.7522666,274.3436185,244.257418,282.9430727,286.945676,280.7903894,237.4072544,248.6661918,279.9052511,240.7867749,254.2253547,269.7256981,246.2642974,253.0987931,231.3853809,254.1870414,295.0350755,260.5106761,259.8549121,246.5403743,249.541698,257.8998207,268.5037183
246.4694436,251.8605854,272.6831202,260.4061819,282.303289,244.7342047,228.2023717,271.3841189,230.9288033,287.1466377,262.2511918,247.6956735,241.3533619,278.3471086,274.0831622,282.7945342,284.7047115,243.5722351,226.1415003,287.0088688,295.1096654,246.2542408,274.320361,266.5148464,244.3715888,248.246067,297.1896333,256.9276029,273.7558562
239.5658309,283.2387812,265.0970605,280.0349755,254.6420503,265.1689824,260.517917,294.7171815,283.0160943,249.4202236,242.8365222,251.0206444,278.7648501,268.287037,270.2162422,287.1796079,268.8014873,268.0734501,272.9337109,282.7711211,275.4747343,241.3848628,259.0869714,237.6658263,275.0824559,263.3687621,277.9521893,249.0819729,257.9400697
266.9813884,269.2340512,252.0395298,279.7137062,272.0024342,252.421014,290.527024,273.565706,260.3742387,244.7553417,217.1239879,229.120224,272.561632,238.8080744,231.4986395,280.4585919,271.1401569,247.7472712,242.9988241,259.9146863,234.9797558,261.6479769,269.236269,258.6613819,239.7051677,274.0966775,262.7020495,254.5906484,280.2673425
284.2647551,245.7331493,269.3613269,235.4063017,265.8751057,275.5020629,251.213052,265.2468482,265.7805166,268.1692911,251.009371,249.6467806,246.0328672,249.5138104,258.7197908,272.5658943,270.0351562,253.0439553,264.9905914,274.5999483,272.4326758,275.5323737,235.4598739,248.9427523,265.0014147,276.3509613,255.0776544,234.8911658,271.0718657
241.7277357,218.7155508,251.3556808,285.0689194,228.0674366,257.4577206,245.1531677,281.0042872,260.1960485,280.5288332,273.0175521,259.2065936,293.9490667,265.0066074,276.4579101,257.1749362,288.4169916,259.5920841,295.5636228,239.0262029,282.113062,281.4235504,225.113301,242.8324774,281.0548328,261.5318229,275.748346,247.312382,260.6191411
256.9333552,254.7285075,286.7530927,276.095676,236.3356813,242.2850127,280.3580503,262.0866831,237.9596356,292.3579697,289.4332764,249.7735257,264.2740165,243.1602201,257.6310967,239.9736631,246.5933066,243.6058897,245.225428,250.5622967,234.6092653,255.4609768,236.5963822,239.6506296,251.3911218,268.0958025,235.2102179,242.2038082,271.4830415
246.5599372,259.0287105,271.2427902,251.6419812,263.2594802,256.6064047,248.1292057,253.9741997,237.2620023,245.6988739,232.3555052,314.3456344,268.5534688,306.6497882,295.899822,260.2348296,217.7051338,255.4235132,263.8068501,276.1589765,263.6356052,266.4502238,245.3761132,249.5930679,277.509186,276.8550593,310.0098752,237.8576386,230.7049054
284.2116539,255.3702813,248.9753686,261.8002327,275.0854324,286.0650692,267.5919473,267.0832415,231.8483521,258.8243825,270.4268018,254.9416555,255.778998,285.006478,262.9051641,262.5431243,261.0157168,284.8430203,293.1288635,320.5635108,278.5008411,262.7290724,257.2762939,271.7292123,276.1176778,232.6793436,293.1872701,260.7826416,258.0071057
231.2921541,283.6626149,246.6257472,264.1388062,235.2682081,230.5899997,271.1922981,263.7443556,253.8026143,262.9699921,254.1079974,291.9216853,228.1459905,310.9364254,261.9816322,249.2746773,299.1350431,241.5615813,262.3986656,246.3883777,254.224758,292.8758091,299.3729155,257.0571968,259.7072875,276.759248,235.500161,274.4537673,243.0605917
261.9933075,273.2980673,239.8571759,274.3531785,245.6013368,269.5195024,254.0692772,254.7884616,278.7529269,258.3075438,241.7976925,245.4670166,265.004866,256.102278,254.7776395,260.9530137,265.2510956,246.2131582,269.4213665,323.3792836,228.4795791,290.3166514,259.4085789,264.716009,259.8258336,277.1142767,273.6927503,253.0365953,302.8692837
255.053235,255.2031048,271.4215302,285.8143975,274.3980462,282.9743559,241.6918618,315.417633,289.6144434,269.0559637,279.0613324,281.9135674,272.5626779,249.4430158,241.3088433,262.5867645,263.5493233,272.2986164,265.5918004,286.1528563,276.2630643,241.2621038,261.4896013,261.4225257,263.5551988,271.8943718,274.7928924,261.9498181,236.5550105
231.9316406,282.1654284,285.0154933,279.5725982,257.335499,245.6183217,266.6598787,287.0147282,269.2484617,247.2298908,243.2324132,276.8856994,257.6669615,280.8100966,286.9308668,267.8351061,306.0356305,278.0680849,257.8088511,273.8578295,253.9706965,274.0571627,290.11452,253.3647606,275.1944399,243.3201464,259.4403081,272.4527629,266.9821753
270.3644415,292.7965697,289.1055984,263.3679057,266.7821428,276.4274838,276.4011418,300.0435776,286.9045387,247.4414187,263.3185857,272.479352,276.4031191,245.7143085,255.4741823,254.5885952,271.20296,226.5111945,272.0326417,246.3145351,271.6569007,224.699118,233.6694597,275.2185101,262.4092825,245.0507747,261.370309,293.4197842,265.7290036
298.1919633,256.4516569,254.6293254,286.0712267,248.4743545,266.0045642,267.945277,242.963684,277.5785912,237.7641746,285.2620277,258.6829031,272.6226499,268.0940285,281.6004032,226.9432841,290.7524963,263.3180046,283.2924051,243.0686974,238.3137026,262.7901204,277.8219912,240.2859077,253.1733185,249.3752386,249.0478499,288.7460081,275.6549947
247.135525,259.3614321,268.9592001,292.1226334,258.4616128,272.6834483,268.3001933,269.4214231,237.3623006,272.683841,254.50408,246.729995,277.4383183,264.7069498,251.6122101,287.2880843,268.0090934,279.5188866,229.5957853,230.3462569,250.4063544,259.5586966,270.6209773,237.3508795,227.921023,245.4193039,264.8043582,265.9361415,270.1440551
278.3436605,262.7249678,235.5632897,266.1428781,272.8775162,237.847358,238.5446139,260.1130025,276.1118806,282.0527636,245.2471237,244.0628505,242.5448499,264.1716091,289.9121755,219.4219097,268.1660524,307.3946596,233.8028257,257.0807886,277.8634385,226.6295288,247.9913642,257.6377358,270.3637955,253.3000798,287.3735015,275.158915,253.76639
