ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native American,% Hawaiian /Pacific Islander,% Other Race/Ethnicity,% Less Than High School,% High School /GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,Below 100% of Poverty Line,Below 150% of Poverty Line,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/ Professional Occupation,% Service Occupation,% Sales/ Office Occupation,% Natural Resources/ Construction/Maintenance Occupation,% Military Occupation,% Production/ Transportation/Moving Occupation,% No Health Insurance
1001,55036,0.488752816,0.511247184,0.02665528,0.766025874,0.190965913,0.009375681,0.003070717,0.000781307,0.029780507,0.12299698,0.336344098,0.540658922,0.218829517,0.003688495,0.009048623,0.012737118,0.008394505,0.137156787,0.240184758,0.129334093,55317,0.603549375,0.033625655,0.261532873,0.348324769,0.179198356,0.22643371,0.081356629,0.011223022,0.153463515,0.087797674
1003,203360,0.489412864,0.510587136,0.044399095,0.865268489,0.095466168,0.00690893,0.008202203,0,0.024154209,0.097866063,0.2780761,0.624057837,0.083039711,0.006161487,0.015091463,0.02125295,0.011231314,0.118454619,0.205648161,0.081002982,52562,0.58585174,0.035133077,0.251374788,0.360690825,0.18043649,0.256987374,0.09569999,0.000387081,0.10579824,0.107858995
1005,26201,0.533414755,0.466585245,0.042135796,0.465631083,0.480439678,0.00629747,0.00206099,0,0.04557078,0.269068027,0.355267441,0.375664533,0.2113879,0.002404488,0.019884737,0.022289226,0.004312813,0.271958081,0.418073272,0.265368295,33368,0.431880328,0.06514396,0.396761568,0.254289992,0.167568813,0.225152597,0.113900726,0,0.239087873,0.123124411
1007,22580,0.542559787,0.457440213,0.023516386,0.767183348,0.220504872,0,0.003631532,0,0.008680248,0.178636736,0.438741409,0.382621855,0.183406114,0.003454384,0.004162976,0.007617361,0.002612932,0.152420336,0.261007054,0.128253326,43404,0.464638507,0.043270105,0.401793831,0.245264207,0.17771685,0.196161516,0.152916251,0,0.227941177,0.081010072
1009,57667,0.494043387,0.505956613,0.090120866,0.954532055,0.01586696,0.001456639,0.003676279,0,0.024468067,0.202153262,0.322735909,0.47511083,0.241593131,0.00572251,0.032046058,0.037768568,0.007682037,0.156333807,0.279749698,0.106669889,47412,0.505700689,0.025876171,0.357953701,0.285774847,0.129015544,0.233490344,0.158266604,0,0.193452661,0.110301187
1011,10478,0.535980149,0.464019851,0.003340332,0.219412102,0.756346631,0.006966978,0.010498187,0,0.006776102,0.286430798,0.365866884,0.347702318,0.390681004,0.003531208,0.007062417,0.010593625,0.007730483,0.284545545,0.389803452,0.245776567,29655,0.522900763,0.075941037,0.312845486,0.196969697,0.170862471,0.186013986,0.14032634,0,0.305827506,0.140907743
1013,20126,0.467852529,0.532147471,0.003179966,0.524048495,0.448673358,0.011129882,0.000645931,0,0.015502335,0.189497063,0.40385442,0.406648517,0.478723404,0.004074332,0.005018384,0.009092716,0.001391235,0.243957818,0.391240729,0.193049645,36326,0.526274058,0.045844446,0.316514092,0.269972452,0.168044077,0.182867637,0.1184573,0.00065591,0.260002624,0.113553852
1015,115527,0.481212184,0.518787816,0.035671315,0.74559194,0.205449808,0.009945727,0.003574922,6.06E-05,0.035377011,0.167825261,0.322127256,0.510047483,0.213049268,0.004596328,0.013278281,0.017874609,0.008275122,0.186375207,0.299615501,0.17831881,43686,0.545274322,0.063523917,0.289123217,0.287109248,0.172373566,0.237723865,0.104906133,0.003218907,0.19466828,0.104357516
1017,33895,0.481486945,0.518513055,0.0215371,0.576840242,0.393420859,0.010001475,0.002802773,0,0.016934651,0.191450755,0.384378429,0.424170816,0.108888889,0.003245316,0.007316713,0.01056203,0.002448739,0.188376273,0.341461953,0.164086461,37342,0.577681537,0.040869529,0.270150948,0.246190577,0.134611334,0.23193596,0.1124921,0,0.27477003,0.121803479
1019,25855,0.497466641,0.502533359,0.015818991,0.931038484,0.049777606,0.001933862,0.004834655,0,0.012415394,0.204819918,0.381922647,0.413257435,0.09375,0.000348095,0.001933862,0.002281957,0.004409205,0.161422278,0.292558213,0.172209356,40041,0.508734924,0.028719779,0.326031695,0.285890453,0.146130922,0.182201213,0.118692837,0,0.267084575,0.090176441
1021,43805,0.492044287,0.507955713,0.076954686,0.83316973,0.095514211,0.004268919,0.005798425,0,0.061248716,0.181533488,0.434454659,0.384011853,0.291996204,0.007259445,0.03698208,0.044241525,0.006391964,0.193846438,0.328397856,0.182490458,43501,0.542010527,0.041295731,0.316752226,0.250718969,0.146784769,0.239675601,0.154319568,0.000977798,0.207523295,0.147861891
1023,13188,0.475962997,0.524037003,0.005383682,0.565362451,0.4233394,0.000606612,0.000303306,0,0.010388232,0.199068685,0.398560694,0.402370621,0,0.000151653,0.002578101,0.002729754,0.001061571,0.223445197,0.341671798,0.257367747,32122,0.435332253,0.050135062,0.380443004,0.239243499,0.152955083,0.217021277,0.172813239,0,0.217966903,0.10964778
1025,24625,0.473055838,0.526944162,0.00235533,0.532304569,0.456690355,0.00515736,0.000568528,0.000893401,0.004385787,0.185331836,0.44341351,0.371254654,0.164874552,4.06E-05,0.000974619,0.001015228,0.00328934,0.252699516,0.38070415,0.194126224,33827,0.425534373,0.080704795,0.378278452,0.21793722,0.140807175,0.24573991,0.138629084,0,0.256886611,0.108705476
1027,13407,0.482658313,0.517341687,0.031103155,0.83150593,0.147609458,0.000447527,0.008950548,0,0.011486537,0.267054469,0.337176097,0.395769434,0.159217877,0,0.015663459,0.015663459,0.003803983,0.191049123,0.333052341,0.14911952,37287,0.544377446,0.03956416,0.290912938,0.226397631,0.149203999,0.18752314,0.123102555,0,0.313772677,0.131604957
1029,14939,0.493138764,0.506861236,0.023830243,0.945645626,0.028382087,0.00542205,0.002878372,0,0.017671866,0.241840763,0.374217772,0.383941465,0.296208531,0.000535511,0.012182877,0.012718388,0.003681639,0.190917769,0.287672167,0.156071367,37396,0.533941925,0.04748956,0.297853744,0.246114463,0.12177729,0.233680746,0.179557506,0,0.218869995,0.1443285
1031,51073,0.493900887,0.506099113,0.066610538,0.762751356,0.172968105,0.0129031,0.010612261,0,0.040765179,0.146102027,0.293355597,0.560542377,0.197058824,0.006089323,0.01715192,0.023241243,0.013823351,0.161230769,0.248555831,0.132874618,49821,0.567008871,0.038498019,0.264380963,0.305474074,0.16512478,0.20100185,0.127487703,0.021074958,0.179836635,0.104946889
1033,54435,0.480260862,0.519739138,0.024120511,0.795719666,0.160227795,0.005033526,0.007421696,0.00034904,0.031248278,0.160867189,0.33724592,0.501886891,0.147208122,0.00619087,0.006650133,0.012841003,0.004776339,0.167865352,0.267146141,0.124732748,45477,0.549073833,0.042603705,0.293034177,0.272777294,0.15223073,0.260488789,0.113943785,0.001604842,0.19895456,0.086251922
1035,12649,0.477508103,0.522491897,0.018262313,0.513400269,0.464779825,0.000316231,0.00166021,0,0.019843466,0.20998632,0.479708162,0.310305518,0,0.001502095,0.002055499,0.003557594,0.004585343,0.264223108,0.401673307,0.176420696,30434,0.42276141,0.077296361,0.36117851,0.156787272,0.192455735,0.246086733,0.129073646,0,0.275596613,0.15734349
1037,10955,0.499680511,0.500319489,0.00146052,0.654039252,0.332268371,0,0.000821543,0,0.012870835,0.232475052,0.38474806,0.382776888,0.37254902,0.004837974,0.000912825,0.005750799,9.13E-05,0.143616516,0.33146654,0.1405804,34792,0.456024845,0.057763975,0.354658385,0.179466667,0.220266667,0.246666667,0.146666667,0,0.206933333,0.100255609
1039,37519,0.483301794,0.516698206,0.015618753,0.846451131,0.131586663,0.0042112,0.003304992,0.000213225,0.014232789,0.179550273,0.355731375,0.464718353,0.296,0,0.003918015,0.003918015,0.004077934,0.176405044,0.288400913,0.139744848,39467,0.533503362,0.067199938,0.273707396,0.293490229,0.141136802,0.221442334,0.157996146,0.001926782,0.184007707,0.117635921
1041,13866,0.489398529,0.510601471,0.01824607,0.714769941,0.235900765,0.013991057,0.00814943,0,0.027188807,0.206612432,0.378076763,0.415310805,0.436868687,0.002091447,0.015289197,0.017380643,0.003389586,0.175982981,0.302963615,0.183837253,38937,0.550355633,0.039583548,0.294814968,0.262698271,0.132062021,0.237747282,0.132596685,0.006950633,0.227945108,0.106761305
1043,81703,0.492307504,0.507692496,0.042421943,0.955362716,0.011603001,0.006462431,0.004283808,3.67E-05,0.022251325,0.178896333,0.358568406,0.462535261,0.184511587,0.002815074,0.019472969,0.022288043,0.005507754,0.163532409,0.273221055,0.121844551,40997,0.533897861,0.033697076,0.32137931,0.289940828,0.147485998,0.235705471,0.142296617,0.001265703,0.183305382,0.134269851
1045,49393,0.496507602,0.503492398,0.060615877,0.732937866,0.194480999,0.010183629,0.005203166,0.000182212,0.057012127,0.140380918,0.325612834,0.534006249,0.195295162,0.007288482,0.010689774,0.017978256,0.010629037,0.196282667,0.304330651,0.180504648,44711,0.491457171,0.060087442,0.280446413,0.27443053,0.141554087,0.234099201,0.123853663,0.045902771,0.180159748,0.123453337
1047,40755,0.461513925,0.538486075,0.010035579,0.282100356,0.703643725,0.004490247,0.00039259,0.000564348,0.008808735,0.187157809,0.365823681,0.447018511,0.051851852,0.001496749,0.00893142,0.010428168,0.003999509,0.318910296,0.460058324,0.318614666,30065,0.48159147,0.082364306,0.335790189,0.263741734,0.183460144,0.210765839,0.089383489,0.00199104,0.250657754,0.121100509
1049,71194,0.496221592,0.503778408,0.142961486,0.862642919,0.014607973,0.002921595,0.013526421,0.008989522,0.097311571,0.263576131,0.339896004,0.396527865,0.26955577,0.006924741,0.059344889,0.06626963,0.008287215,0.214985706,0.375837399,0.17898909,38842,0.548021338,0.030019675,0.319608122,0.237851299,0.152258983,0.206474564,0.123977232,0,0.279437922,0.150749489
1051,80989,0.485954883,0.514045117,0.028596476,0.75166998,0.214078455,0.005692131,0.003469607,0,0.025089827,0.136238648,0.340623756,0.523137595,0.229853116,0.002432429,0.010186569,0.012618998,0.00555631,0.135276424,0.213205837,0.139481367,54981,0.534932789,0.043032159,0.324706483,0.348332159,0.131038074,0.262413085,0.107973168,0.004809018,0.145434496,0.077227566
1053,37621,0.513702453,0.486297547,0.021503947,0.613673214,0.322373143,0.003960554,0.036442413,0.001435369,0.022115308,0.190261044,0.438137164,0.371601792,0.267153285,0.000983493,0.006405997,0.00738949,0.000505037,0.238336451,0.376716074,0.186526539,35026,0.434448752,0.072420672,0.388677683,0.246055723,0.21550856,0.246643169,0.108929171,0,0.182863377,0.156351231
1055,103132,0.482275143,0.517724858,0.036787806,0.809021448,0.155519141,0.006845596,0.007068611,0.000688438,0.020856766,0.16943341,0.324970381,0.505596209,0.33409611,0.003558546,0.01792848,0.021487026,0.007427375,0.17855493,0.301772182,0.15442513,42064,0.536517432,0.046567787,0.308274906,0.299688134,0.184570071,0.21800901,0.093336964,0.000321766,0.204074056,0.117149865
