"ID","mean","RMSE","Lower_Bound","Upper_Bound","CV","PCT_PVT_BELOW_150","PCT_PVT_BELOW_100","ACS_MEDIAN_INC","PCT_EDU_LESS_HS","PCT_EDU_HS","PCT_EDU_MORE_HS","PCT_ENG_NOT_WELL","PCT_HISP","PCT_WHITE","PCT_BLACK","PCT_ASIAN","PCT_NATIVE_A","PCT_OTHER_RACE","PCT_OCP_MGT","PCT_OCP_SER","PCT_OCP_SALE","PCT_OCP_NAT_RS_MANT","PCT_OCP_PROD","PCT_OCP_MILITARY","PCT_MALE_16UP","PCT_LAB_EMP","PCT_LAB_UNEMP","PCT_NOT_LAB","PCT_owner_OCP","PCT_foreign_5","PCT_foreign_6_20","PCT_foreign_LS_20","PCT_foreign_MO_21","PCT_NO_HLTH_INS","ADJ_GRS_IINCOME","SNAP","Pct_Eligible_for_Medicaid","abe_rate","ase_rate","esl_rate"
"AK",262.8414404585,6.5277412530519,249.724902715,275.841911815,0.0248352818401274,0.177576781,0.101142465,74250.85986,0.077736617,0.278629393,0.64363399,0.106588127,0.066540907,0.656191517,0.033172062,0.060009093,0.140562254,0.01202679,0.358711798,0.171861006,0.216849085,0.126203047,0.106288715,0.02008635,0.5250315,0.612736841,0.049547556,0.178170028,0.521069348,0.162419523,0.488529103,0.650948625,0.349051375,0.16366585,721531.8785,0.110094618,23.63807916,0.496708861,0.091139241,0.412151899
"AL",263.0150557644,5.04100633416385,253.451918585,272.5803580125,0.0191662272698161,0.292855185,0.184174069,45708.30719,0.151594826,0.3089208,0.539484375,0.211579798,0.039970346,0.686825937,0.264823295,0.012547396,0.004940754,0.000414776,0.329791267,0.165685084,0.23808812,0.099107247,0.164804895,0.002523387,0.478811551,0.520098321,0.043760629,0.227103124,0.576387306,0.1595231,0.585433464,0.744956564,0.252746675,0.114211789,714908.4156,0.155563881,18.34697828,0.698493991,0.192231631,0.109274378
"AR",262.8213861367,3.6626425560394,255.58794597,269.9684736725,0.0139358619550631,0.308758227,0.18877012,43195.05108,0.147916681,0.345156001,0.506927318,0.194824077,0.069749353,0.777213327,0.155176805,0.013993395,0.006298527,0.002269855,0.319976827,0.170814912,0.234614254,0.108340546,0.164911752,0.001341709,0.48553673,0.530721695,0.035774281,0.219308007,0.560535137,0.154927326,0.567830742,0.722758067,0.277241933,0.121130332,436143.7759,0.142163281,21.0183358,0.583146465,0.200637319,0.216216216
"AZ",263.3692261067,10.4914050118154,241.9268422,283.37220089,0.0398353489012608,0.281072336,0.177479831,51693.66193,0.137974769,0.24220651,0.61981872,0.188405628,0.305391318,0.778048315,0.042670241,0.0305011,0.044100261,0.001911697,0.348656535,0.199908662,0.257538465,0.093997149,0.096938995,0.002960195,0.493769631,0.535517091,0.04213557,0.202951336,0.526924445,0.119970567,0.520211522,0.640182089,0.359817911,0.134066832,8899083.151,0.132898753,10.20563847,0.54237037,0.067925926,0.389703704
"C10001",263.2348462862,19.1778986984643,225.6825652325,300.27599777,0.0728547111791318,0.229572781,0.131719718,55184,0.131041785,0.335715048,0.533243166,0.119844358,0.06605083,0.670410675,0.245500776,0.020020528,0.006549098,0.000606506,0.324943779,0.198459809,0.222817844,0.105146174,0.139297108,0.009335286,0.475835675,0.555066184,0.043892356,0.171689788,0.632660852,0.137739095,0.486590426,0.624329521,0.375670479,0.07616315,479755.5,0.163437399,19.43,0.589961203,0.093840931,0.316197866
"C10003",262.1960223263,19.4037864140492,223.5506602925,298.934944225,0.0740048847495536,0.180907865,0.113617597,66283,0.095391036,0.289001811,0.615607153,0.159078341,0.094043989,0.650824189,0.243664368,0.051777455,0.002440231,0.000378625,0.430386227,0.17512506,0.238868835,0.069785037,0.085108385,0.000726457,0.4790342,0.601865826,0.041941118,0.170843498,0.630729523,0.17800198,0.571545632,0.749547612,0.250452388,0.068293849,2265733.25,0.116810847,16.92,0.589961203,0.093840931,0.316197866
"C10005",262.9694949652,19.2997037066242,225.464496605,300.12883221,0.0733914164043179,0.217544333,0.12886933,54218,0.137924814,0.346893019,0.515182167,0.254130606,0.091959247,0.818046245,0.125118358,0.011428626,0.004847934,0.000700678,0.317857024,0.197957172,0.240054505,0.115767667,0.127588155,0.000775477,0.480873172,0.482761943,0.035216695,0.173271679,0.50093536,0.07969626,0.611596054,0.691292314,0.308707686,0.085307541,693993.625,0.136028398,12.99,0.589961203,0.093840931,0.316197866
"C1001",263.4371412509,18.6225070883794,226.4495992225,301.077052025,0.0706905146326467,0.231070735,0.122660171,53099,0.12417046,0.343306093,0.532523447,0.218734177,0.025722538,0.768606151,0.185216807,0.008065542,0.004105433,0.000563135,0.337256193,0.174142046,0.238540038,0.079170439,0.164677804,0.00621348,0.481115498,0.570504138,0.026360672,0.202382744,0.66998327,0.144268775,0.495059289,0.639328063,0.360671937,0.088139657,154684.25,0.127980769,10.74,0.698493991,0.192231631,0.109274378
"C1003",263.4682535919,19.5695126333955,225.2026944825,303.3462118475,0.0742765489450874,0.224521969,0.129937958,51365,0.099724179,0.286924957,0.613350864,0.148262251,0.043666984,0.86432259,0.093198336,0.006706431,0.00679164,0,0.341640598,0.170177268,0.268659483,0.104333218,0.114227784,0.00096165,0.484069673,0.525356771,0.034653039,0.190962901,0.50107363,0.183351219,0.524605243,0.707956462,0.292043538,0.116560573,655737.625,0.08898322,8.7,0.698493991,0.192231631,0.109274378
"C1005",262.2603270066,18.9811984417992,227.0698242225,296.7232498725,0.0723754090389794,0.404001523,0.263736729,33956,0.262359276,0.349268505,0.38837222,0.256375839,0.043097618,0.467047419,0.479296611,0.004847073,0.001728414,0,0.272002733,0.154047592,0.220084254,0.118068997,0.235796425,0,0.540842491,0.397383564,0.058279644,0.327988983,0.493899339,0.08935611,0.814717477,0.904073587,0.095926413,0.11569099,46821.5,0.253562815,31.87,0.698493991,0.192231631,0.109274378
