ID,L1,L2,L3,N1,N2,N3,LA,NA
AK,0.131944,0.3024023,0.5656556,0.131944,0.3024023,0.5656556,262.8414405,247.9698451
AL,0.2447892,0.3641748,0.3910379,0.2447892,0.3641748,0.3910379,263.0150558,247.9219517
AR,0.2338661,0.3791443,0.3869908,0.2338661,0.3791443,0.3869908,262.8213861,247.9906696
AZ,0.2286275,0.3328827,0.4384885,0.2286275,0.3328827,0.4384885,263.3692261,248.1483412
C10001,0.2203742,0.377312,0.4023219,0.2203742,0.377312,0.4023219,263.2348463,248.2052341
C10003,0.1897639,0.3389968,0.4712387,0.1897639,0.3389968,0.4712387,262.1960223,248.3781217
C10005,0.2142332,0.384444,0.4013195,0.2142332,0.384444,0.4013195,262.969495,249.0953971
C1001,0.2001875,0.386576,0.4132259,0.2001875,0.386576,0.4132259,263.4371413,248.4949133
C1003,0.1621982,0.343031,0.4947795,0.1621982,0.343031,0.4947795,263.4682536,248.3423889
C1005,0.3920844,0.404194,0.2037081,0.3920844,0.404194,0.2037081,262.260327,248.380076
C1007,0.2641183,0.444781,0.2910848,0.2641183,0.444781,0.2910848,262.8542116,246.6272366
C1009,0.2514202,0.379582,0.3690085,0.2514202,0.379582,0.3690085,263.0580768,247.3868484
C1011,0.4765491,0.410369,0.1130879,0.4765491,0.410369,0.1130879,262.6814032,248.4357974
C1013,0.3160167,0.433003,0.2509623,0.3160167,0.433003,0.2509623,262.8267403,248.4610455
C1015,0.2573597,0.372959,0.3696926,0.2573597,0.372959,0.3696926,262.8138408,247.6816731
C1017,0.288916,0.430891,0.2802069,0.288916,0.430891,0.2802069,262.8090942,248.1983162
C1019,0.2410972,0.401103,0.3578122,0.2410972,0.401103,0.3578122,262.7802561,246.9681854
C1021,0.2790452,0.437132,0.2838192,0.2790452,0.437132,0.2838192,263.2082573,249.3041126
C1023,0.3280581,0.417831,0.2541005,0.3280581,0.417831,0.2541005,262.1246895,247.7852654
C1025,0.3384287,0.470157,0.191422,0.3384287,0.470157,0.191422,263.5816304,247.8531646
C1027,0.3137363,0.398821,0.2874556,0.3137363,0.398821,0.2874556,262.8335401,247.5421157
C1029,0.305924,0.419445,0.2746363,0.305924,0.419445,0.2746363,263.1103985,248.7204516
C1031,0.2310198,0.35178,0.4171938,0.2310198,0.35178,0.4171938,262.5594168,248.2640677
C1033,0.234444,0.391519,0.3740347,0.234444,0.391519,0.3740347,262.7815883,248.500824
C1035,0.3628104,0.476741,0.1604487,0.3628104,0.476741,0.1604487,263.0871917,249.4181892
C1037,0.3242269,0.4165,0.2592718,0.3242269,0.4165,0.2592718,262.0040397,249.1898879
C1039,0.2647588,0.391849,0.3434014,0.2647588,0.391849,0.3434014,263.1376707,249.0322962
C1041,0.3010542,0.424613,0.2743154,0.3010542,0.424613,0.2743154,264.3791789,248.7606272
C1043,0.2309012,0.394022,0.3750751,0.2309012,0.394022,0.3750751,263.1725543,248.702565
C1045,0.2358116,0.376269,0.3879091,0.2358116,0.376269,0.3879091,263.4312527,247.8117457
C1047,0.4000164,0.411576,0.1884107,0.4000164,0.411576,0.1884107,263.3989042,246.1897857
C1049,0.3267335,0.392154,0.2810979,0.3267335,0.392154,0.2810979,263.2339467,247.2959309
C1051,0.2215227,0.39473,0.3837378,0.2215227,0.39473,0.3837378,263.0315072,246.6265753
C1053,0.3159634,0.454795,0.2292484,0.3159634,0.454795,0.2292484,262.7734152,247.9232129
C1055,0.2520948,0.375902,0.3719878,0.2520948,0.375902,0.3719878,262.0725355,248.4561915
C1057,0.2570982,0.4215379,0.3213605,0.2570982,0.4215379,0.3213605,263.6609911,248.3821066
C1059,0.3172749,0.405077,0.2776439,0.3172749,0.405077,0.2776439,263.0064505,248.6722358
C1061,0.2992902,0.401034,0.2996681,0.2992902,0.401034,0.2996681,262.0002569,248.0226741
C1063,0.4486288,0.446316,0.1050534,0.4486288,0.446316,0.1050534,262.8581542,247.1104087
C1065,0.359883,0.454772,0.1853611,0.359883,0.454772,0.1853611,263.4667968,248.475654
C1067,0.2758326,0.407039,0.3171267,0.2758326,0.407039,0.3171267,263.0454444,248.463029
C1069,0.2522243,0.373406,0.3743627,0.2522243,0.373406,0.3743627,263.5306553,248.357035
C1071,0.2565469,0.437675,0.3057775,0.2565469,0.437675,0.3057775,263.0724133,247.7921099
C1073,0.2333698,0.332106,0.4344998,0.2333698,0.332106,0.4344998,263.2608685,247.8607159
C1075,0.2955941,0.39827,0.3061316,0.2955941,0.39827,0.3061316,262.5716531,247.9973051
C1077,0.2168411,0.388027,0.3951303,0.2168411,0.388027,0.3951303,264.025365,248.6475758
C1079,0.2940759,0.432374,0.2735454,0.2940759,0.432374,0.2735454,262.5859459,248.0445705
C1081,0.2020957,0.315957,0.4819555,0.2020957,0.315957,0.4819555,263.0246729,248.2108049
