ID,L1,L2,L3,N1,N2,N3,LA,NA,N3-CV,N2-CV,N1-CV,NA-CV,L3-CV,L2-CV,L1-CV,LA-CV
AK,0.131944,0.3024023,0.5656556,0.131944,0.3024023,0.5656556,262.8414405,247.9698451,0.041291067,0.08922974,0.139200757,0.030832111,0.041291067,0.08922974,0.139200757,0.024835282
AL,0.2447892,0.3641748,0.3910379,0.2447892,0.3641748,0.3910379,263.0150558,247.9219517,0.059617066,0.07814418,0.080120294,0.022646895,0.059617066,0.07814418,0.080120294,0.019166227
AR,0.2338661,0.3791443,0.3869908,0.2338661,0.3791443,0.3869908,262.8213861,247.9906696,0.057434295,0.073041987,0.083138006,0.017385182,0.057434295,0.073041987,0.083138006,0.013935862
AZ,0.2286275,0.3328827,0.4384885,0.2286275,0.3328827,0.4384885,263.3692261,248.1483412,0.057034431,0.091818061,0.092117776,0.05227617,0.057034431,0.091818061,0.092117776,0.039835349
C10001,0.2203742,0.377312,0.4023219,0.2203742,0.377312,0.4023219,263.2348463,248.2052341,0.073584491,0.089402099,0.113674005,0.088238784,0.073584491,0.089402099,0.113674005,0.072854711
C10003,0.1897639,0.3389968,0.4712387,0.1897639,0.3389968,0.4712387,262.1960223,248.3781217,0.06005648,0.092153492,0.12503904,0.088705529,0.06005648,0.092153492,0.12503904,0.074004885
C10005,0.2142332,0.384444,0.4013195,0.2142332,0.384444,0.4013195,262.969495,249.0953971,0.076045411,0.090532078,0.111522932,0.087262093,0.076045411,0.090532078,0.111522932,0.073391416
C1001,0.2001875,0.386576,0.4132259,0.2001875,0.386576,0.4132259,263.4371413,248.4949133,0.081621488,0.097075444,0.131681863,0.085991247,0.081621488,0.097075444,0.131681863,0.070690515
C1003,0.1621982,0.343031,0.4947795,0.1621982,0.343031,0.4947795,263.4682536,248.3423889,0.061593997,0.104430387,0.157831885,0.093009014,0.061593997,0.104430387,0.157831885,0.074276549
C1005,0.3920844,0.404194,0.2037081,0.3920844,0.404194,0.2037081,262.260327,248.380076,0.171917736,0.100514035,0.079778692,0.088189934,0.171917736,0.100514035,0.079778692,0.072375409
C1007,0.2641183,0.444781,0.2910848,0.2641183,0.444781,0.2910848,262.8542116,246.6272366,0.128549103,0.095314564,0.111230957,0.08948607,0.128549103,0.095314564,0.111230957,0.072094383
C1009,0.2514202,0.379582,0.3690085,0.2514202,0.379582,0.3690085,263.0580768,247.3868484,0.08279404,0.096471587,0.107181161,0.089286542,0.08279404,0.096471587,0.107181161,0.072555024
C1011,0.4765491,0.410369,0.1130879,0.4765491,0.410369,0.1130879,262.6814032,248.4357974,0.452292183,0.13946576,0.091516405,0.089795575,0.452292183,0.13946576,0.091516405,0.071527973
C1013,0.3160167,0.433003,0.2509623,0.3160167,0.433003,0.2509623,262.8267403,248.4610455,0.140087428,0.092553034,0.090701066,0.089886949,0.140087428,0.092553034,0.090701066,0.072488999
C1015,0.2573597,0.372959,0.3696926,0.2573597,0.372959,0.3696926,262.8138408,247.6816731,0.08176357,0.091745494,0.10069774,0.087868677,0.08176357,0.091745494,0.10069774,0.071287534
C1017,0.288916,0.430891,0.2802069,0.288916,0.430891,0.2802069,262.8090942,248.1983162,0.1547036,0.115836926,0.123190902,0.087643657,0.1547036,0.115836926,0.123190902,0.070940475
C1019,0.2410972,0.401103,0.3578122,0.2410972,0.401103,0.3578122,262.7802561,246.9681854,0.08693234,0.089500595,0.107361494,0.088903599,0.08693234,0.089500595,0.107361494,0.068098589
C1021,0.2790452,0.437132,0.2838192,0.2790452,0.437132,0.2838192,263.2082573,249.3041126,0.112202426,0.083271726,0.094298427,0.0867082,0.112202426,0.083271726,0.094298427,0.070670659
C1023,0.3280581,0.417831,0.2541005,0.3280581,0.417831,0.2541005,262.1246895,247.7852654,0.133314778,0.094786854,0.087173576,0.08891628,0.133314778,0.094786854,0.087173576,0.070582807
C1025,0.3384287,0.470157,0.191422,0.3384287,0.470157,0.191422,263.5816304,247.8531646,0.199804106,0.090280508,0.090772262,0.091929561,0.199804106,0.090280508,0.090772262,0.072783076
C1027,0.3137363,0.398821,0.2874556,0.3137363,0.398821,0.2874556,262.8335401,247.5421157,0.132235362,0.107490483,0.09976819,0.091184456,0.132235362,0.107490483,0.09976819,0.074813704
C1029,0.305924,0.419445,0.2746363,0.305924,0.419445,0.2746363,263.1103985,248.7204516,0.126488015,0.095285235,0.105111967,0.087587725,0.126488015,0.095285235,0.105111967,0.07234377
C1031,0.2310198,0.35178,0.4171938,0.2310198,0.35178,0.4171938,262.5594168,248.2640677,0.071823769,0.09850406,0.108589593,0.086450051,0.071823769,0.09850406,0.108589593,0.070026993
C1033,0.234444,0.391519,0.3740347,0.234444,0.391519,0.3740347,262.7815883,248.500824,0.082867807,0.090804324,0.10615889,0.08687731,0.082867807,0.090804324,0.10615889,0.073475632
C1035,0.3628104,0.476741,0.1604487,0.3628104,0.476741,0.1604487,263.0871917,249.4181892,0.238448907,0.090103803,0.083579679,0.089953926,0.238448907,0.090103803,0.083579679,0.07538343
C1037,0.3242269,0.4165,0.2592718,0.3242269,0.4165,0.2592718,262.0040397,249.1898879,0.185949334,0.134544993,0.126308305,0.088150206,0.185949334,0.134544993,0.126308305,0.068517494
C1039,0.2647588,0.391849,0.3434014,0.2647588,0.391849,0.3434014,263.1376707,249.0322962,0.094993228,0.09533999,0.105987487,0.090886585,0.094993228,0.09533999,0.105987487,0.073619181
C1041,0.3010542,0.424613,0.2743154,0.3010542,0.424613,0.2743154,264.3791789,248.7606272,0.121766657,0.08965643,0.095215045,0.089849369,0.121766657,0.08965643,0.095215045,0.071702047
