ID,N3,N3-CL,N3-CU,N3-CV,L1,L1-CL,L1-CU,L1-CV,L2,L2-CL,L2-CU,L2-CV,L3,L3-CL,L3-CU,L3-CV,N1,N1-CL,N1-CU,N1-CV,N2,N2-CL,N2-CU,N2-CV,LA,LA-CL,LA-CU,LA-CV,NA,NA-CL,NA-CU,NA-CV
C1057,0.2402,0.1916,0.2954,0.1079,0.2708,0.2303,0.3097,0.0726,0.4098,0.3584,0.4625,0.0653,0.3193,0.2715,0.3677,0.0766,0.3986,0.3590,0.4491,0.0570,0.3612,0.3022,0.4081,0.0809,252.5667,244.1452,260.7461,0.0168,237.6017,228.8144,246.5531,0.0190
C1093,0.2831,0.2315,0.3309,0.0859,0.2427,0.2035,0.2791,0.0783,0.3931,0.3423,0.4469,0.0668,0.3642,0.3181,0.4114,0.0645,0.3566,0.3184,0.4094,0.0629,0.3603,0.3088,0.4116,0.0703,257.9454,250.8228,265.1563,0.0143,243.7163,236.1912,251.2222,0.0158
C2020,0.4631,0.4064,0.5184,0.0590,0.1196,0.0832,0.1549,0.1501,0.2968,0.2419,0.3469,0.0906,0.5836,0.5377,0.6372,0.0438,0.1888,0.1476,0.2315,0.1133,0.3480,0.2945,0.4043,0.0779,279.9678,271.7044,288.2379,0.0150,267.6383,258.6270,276.6953,0.0171
C2170,0.3930,0.3362,0.4606,0.0763,0.1262,0.0873,0.1668,0.1572,0.3614,0.2963,0.4175,0.0856,0.5123,0.4600,0.5734,0.0564,0.2081,0.1567,0.2612,0.1139,0.3988,0.3384,0.4653,0.0766,277.0591,269.8253,284.6199,0.0138,263.9627,256.1676,272.4707,0.0158
C4013,0.3867,0.3301,0.4378,0.0700,0.2235,0.1884,0.2550,0.0752,0.3089,0.2616,0.3636,0.0835,0.4676,0.4160,0.5123,0.0527,0.3153,0.2806,0.3562,0.0597,0.2980,0.2515,0.3511,0.0818,265.4187,258.4121,272.6617,0.0135,250.7548,243.1751,258.2805,0.0155
C5007,0.3738,0.3226,0.4213,0.0679,0.1874,0.1536,0.2218,0.0902,0.3394,0.2931,0.3859,0.0693,0.4732,0.4290,0.5156,0.0456,0.2756,0.2373,0.3152,0.0687,0.3506,0.3077,0.4011,0.0682,266.2874,259.1590,273.2925,0.0134,253.6083,246.0735,260.8147,0.0149
C5045,0.3706,0.3162,0.4229,0.0692,0.1657,0.1322,0.2009,0.1034,0.3524,0.3047,0.4001,0.0685,0.4819,0.4376,0.5284,0.0472,0.2792,0.2359,0.3182,0.0709,0.3502,0.3003,0.3982,0.0689,271.3039,263.8958,279.1249,0.0145,255.4385,247.3330,263.9788,0.0166
C6001,0.4642,0.4150,0.5137,0.0553,0.2095,0.1802,0.2383,0.0703,0.2377,0.1992,0.2773,0.0837,0.5527,0.5132,0.5922,0.0355,0.2753,0.2389,0.3156,0.0687,0.2606,0.2132,0.3013,0.0862,269.9879,262.1106,277.8480,0.0147,258.0808,249.2419,266.3458,0.0169
C6029,0.2405,0.1933,0.2924,0.1011,0.3994,0.3557,0.4438,0.0558,0.2909,0.2362,0.3418,0.0920,0.3097,0.2597,0.3573,0.0794,0.5020,0.4548,0.5546,0.0470,0.2575,0.2059,0.3069,0.0944,240.4028,233.0246,247.6667,0.0156,224.0461,216.1041,232.2359,0.0181
C6037,0.3248,0.2886,0.3652,0.0618,0.3429,0.3117,0.3750,0.0469,0.2549,0.2166,0.2930,0.0753,0.4022,0.3651,0.4369,0.0453,0.4262,0.3884,0.4579,0.0387,0.2490,0.2099,0.2819,0.0739,248.2159,242.4442,254.0772,0.0119,234.7635,228.1720,241.3196,0.0141
C6059,0.4390,0.3918,0.4833,0.0503,0.2405,0.2106,0.2706,0.0620,0.2297,0.1910,0.2649,0.0821,0.5299,0.4945,0.5689,0.0352,0.3017,0.2691,0.3357,0.0545,0.2594,0.2182,0.2960,0.0737,264.5232,257.2333,271.2703,0.0134,252.0684,244.1882,259.3476,0.0154
C6065,0.2899,0.2449,0.3406,0.0856,0.3229,0.2881,0.3600,0.0557,0.2930,0.2480,0.3366,0.0773,0.3841,0.3401,0.4263,0.0564,0.4152,0.3758,0.4543,0.0460,0.2949,0.2463,0.3392,0.0809,247.2614,239.7667,254.5535,0.0152,231.0470,222.4185,239.5614,0.0185
C6067,0.3998,0.3605,0.4546,0.0654,0.2322,0.2037,0.2620,0.0634,0.2701,0.2295,0.3093,0.0743,0.4977,0.4598,0.5372,0.0392,0.3170,0.2776,0.3519,0.0546,0.2832,0.2333,0.3207,0.0895,263.2851,256.1722,270.3960,0.0135,248.9801,240.9349,256.6169,0.0158
C6073,0.4296,0.3822,0.4767,0.0542,0.2308,0.2003,0.2586,0.0637,0.2430,0.2032,0.2819,0.0814,0.5261,0.4887,0.5660,0.0373,0.3004,0.2647,0.3345,0.0566,0.2700,0.2266,0.3102,0.0746,267.3377,259.8148,275.5971,0.0149,253.1542,244.8064,261.8196,0.0166
C6077,0.2815,0.2341,0.3357,0.0903,0.3359,0.3004,0.3724,0.0535,0.2967,0.2518,0.3397,0.0761,0.3673,0.3235,0.4089,0.0589,0.4311,0.3921,0.4733,0.0464,0.2873,0.2365,0.3299,0.0841,245.5606,236.9855,253.4164,0.0167,230.6364,221.0853,239.4493,0.0199
C6081,0.5063,0.4394,0.5612,0.0549,0.1813,0.1484,0.2139,0.0925,0.2187,0.1763,0.2611,0.0994,0.6000,0.5564,0.6408,0.0358,0.2275,0.1920,0.2797,0.0940,0.2662,0.2115,0.3067,0.0933,273.9393,265.5300,281.9791,0.0151,264.0658,254.9480,272.7476,0.0173
C6083,0.3844,0.3379,0.4309,0.0597,0.3026,0.2667,0.3373,0.0591,0.2350,0.1903,0.2788,0.0942,0.4624,0.4189,0.5041,0.0457,0.3733,0.3346,0.4112,0.0512,0.2423,0.1969,0.2851,0.0882,255.6309,248.5120,262.7700,0.0141,242.9209,235.2350,250.7121,0.0161
C6085,0.5138,0.4665,0.5785,0.0516,0.1940,0.1623,0.2271,0.0844,0.2121,0.1712,0.2546,0.0993,0.5938,0.5526,0.6351,0.0350,0.2354,0.1980,0.2742,0.0800,0.2508,0.2024,0.2909,0.0973,273.0635,265.8470,280.3127,0.0136,264.6937,256.6305,272.7532,0.0154
C8005,0.4447,0.3984,0.4965,0.0557,0.1582,0.1278,0.1888,0.0962,0.2974,0.2515,0.3527,0.0868,0.5444,0.4896,0.5884,0.0458,0.2451,0.2058,0.2855,0.0776,0.3102,0.2616,0.3562,0.0749,273.2928,265.5848,281.0507,0.0144,261.3344,252.9113,269.8929,0.0165
C8035,0.6186,0.5639,0.6739,0.0445,0.0559,0.0206,0.0914,0.3218,0.2279,0.1759,0.2876,0.1270,0.7162,0.6589,0.7658,0.0386,0.0965,0.0580,0.1538,0.2420,0.2849,0.2183,0.3354,0.1027,292.9208,284.6772,300.7697,0.0139,284.9810,275.7765,293.6561,0.0156
C8069,0.5124,0.4638,0.5669,0.0507,0.1049,0.0705,0.1372,0.1591,0.2833,0.2318,0.3406,0.0984,0.6118,0.5578,0.6611,0.0428,0.1764,0.1395,0.2196,0.1111,0.3112,0.2528,0.3554,0.0870,282.7353,275.4193,290.2070,0.0135,271.2054,263.3648,279.3746,0.0149
C9003,0.4042,0.3441,0.4557,0.0689,0.1887,0.1514,0.2219,0.0944,0.3134,0.2588,0.3661,0.0846,0.4978,0.4505,0.5503,0.0497,0.2823,0.2397,0.3220,0.0702,0.3134,0.2650,0.3700,0.0853,270.6840,262.1602,279.5684,0.0162,256.8515,247.3363,266.9108,0.0192
C9005,0.4453,0.3930,0.4933,0.0564,0.1204,0.0847,0.1499,0.1367,0.3332,0.2810,0.3840,0.0778,0.5464,0.5016,0.5973,0.0437,0.1953,0.1538,0.2284,0.0923,0.3593,0.3153,0.4157,0.0715,279.1704,272.5342,286.0703,0.0123,267.2218,260.3212,274.5815,0.0136
C9007,0.4648,0.4140,0.5165,0.0533,0.1099,0.0753,0.1400,0.1464,0.3171,0.2677,0.3679,0.0795,0.5731,0.5279,0.6217,0.0404,0.1833,0.1459,0.2192,0.0955,0.3519,0.3033,0.4014,0.0686,280.4809,273.0527,288.2125,0.0135,268.4754,260.1782,276.6182,0.0157
C10003,0.3501,0.3003,0.3953,0.0658,0.1933,0.1600,0.2314,0.0921,0.3373,0.2920,0.3839,0.0694,0.4694,0.4249,0.5133,0.0470,0.3089,0.2658,0.3432,0.0733,0.3411,0.2987,0.3956,0.0742,265.8998,258.1899,273.2625,0.0144,250.1883,241.8720,257.9775,0.0164
C11001,0.4452,0.3917,0.5174,0.0812,0.2240,0.1819,0.2631,0.0912,0.2500,0.1982,0.3017,0.1051,0.5260,0.4774,0.5769,0.0484,0.3436,0.2928,0.3813,0.0725,0.2112,0.1529,0.2622,0.1322,276.6074,268.3953,285.2043,0.0155,259.8408,250.9981,269.5058,0.0183
C12011,0.2967,0.2519,0.3443,0.0757,0.2463,0.2106,0.2820,0.0735,0.3373,0.2901,0.3838,0.0698,0.4164,0.3734,0.4585,0.0513,0.3671,0.3215,0.4038,0.0533,0.3361,0.2887,0.3853,0.0715,258.7404,252.1890,265.3062,0.0127,242.5469,235.4620,250.0076,0.0151
C12039,0.1454,0.1029,0.2013,0.1868,0.3590,0.3182,0.3995,0.0580,0.4055,0.3539,0.4567,0.0639,0.2355,0.1903,0.2828,0.0985,0.5454,0.4976,0.5850,0.0429,0.3091,0.2586,0.3547,0.0780,240.8747,234.1399,247.9128,0.0144,218.2316,210.9758,225.6542,0.0172
C12057,0.3285,0.2756,0.3757,0.0735,0.2339,0.2018,0.2681,0.0707,0.3243,0.2802,0.3674,0.0668,0.4417,0.4014,0.4809,0.0452,0.3374,0.3010,0.3778,0.0569,0.3341,0.2911,0.3812,0.0678,260.7076,252.6674,268.0611,0.0151,244.0279,234.8708,252.3568,0.0180
C12086,0.1722,0.1060,0.2262,0.1761,0.3753,0.3216,0.4313,0.0740,0.3244,0.2541,0.3916,0.1079,0.3003,0.2411,0.3560,0.0993,0.5008,0.4457,0.5600,0.0566,0.3270,0.2567,0.3995,0.1101,236.4084,226.0958,246.2014,0.0217,215.4368,204.3887,225.5411,0.0250
C12095,0.3341,0.2878,0.3929,0.0800,0.2446,0.2112,0.2767,0.0672,0.3162,0.2730,0.3583,0.0687,0.4392,0.4000,0.4791,0.0453,0.3479,0.2980,0.3855,0.0589,0.3180,0.2695,0.3625,0.0759,261.3313,254.6708,268.1740,0.0132,246.0411,239.0251,254.1373,0.0156
C12103,0.3705,0.3172,0.4116,0.0673,0.1685,0.1373,0.2002,0.0908,0.3449,0.3049,0.3862,0.0599,0.4866,0.4468,0.5253,0.0404,0.2647,0.2309,0.3039,0.0740,0.3648,0.3221,0.4121,0.0582,268.9295,261.0965,276.0988,0.0139,254.0886,245.7252,261.7512,0.0161
C12127,0.2968,0.2439,0.3417,0.0805,0.1978,0.1661,0.2312,0.0845,0.3790,0.3347,0.4247,0.0598,0.4232,0.3776,0.4635,0.0510,0.3116,0.2770,0.3537,0.0645,0.3917,0.3446,0.4394,0.0586,260.5951,252.5686,268.1176,0.0151,245.2299,236.2165,253.1741,0.0176
C13021,0.1971,0.1511,0.2527,0.1258,0.2977,0.2577,0.3368,0.0670,0.3887,0.3386,0.4408,0.0669,0.3136,0.2681,0.3572,0.0729,0.4875,0.4404,0.5269,0.0456,0.3154,0.2647,0.3697,0.0801,249.9415,243.5304,256.5784,0.0133,227.9974,220.8882,235.3773,0.0162
C13035,0.1232,0.0640,0.1672,0.2324,0.3247,0.2854,0.3639,0.0617,0.4537,0.4002,0.5086,0.0602,0.2216,0.1739,0.2666,0.1054,0.4961,0.4513,0.5408,0.0432,0.3808,0.3343,0.4426,0.0804,240.9887,232.9301,248.6705,0.0168,221.7297,212.4704,230.0219,0.0200
