ID,N3,N3-CL,N3-CU,N3-CV,L1,L1-CL,L1-CU,L1-CV,L2,L2-CL,L2-CU,L2-CV,L3,L3-CL,L3-CU,L3-CV,N1,N1-CL,N1-CU,N1-CV,N2,N2-CL,N2-CU,N2-CV,LA,LA-CL,LA-CU,LA-CV,NA,NA-CL,NA-CU,NA-CV
C1057,0.244,0.188,0.3,0.117,0.271,0.229,0.31,0.075,0.41,0.357,0.467,0.068,0.32,0.269,0.371,0.08,0.402,0.357,0.449,0.058,0.354,0.299,0.411,0.081,252.7,244.4,260.9,0,237.7,228.8,246.7,0
C1093,0.282,0.229,0.335,0.094,0.242,0.202,0.281,0.081,0.394,0.342,0.449,0.069,0.364,0.314,0.414,0.067,0.361,0.315,0.406,0.063,0.357,0.301,0.41,0.077,258,251,265.5,0,243.8,236.1,251.4,0
C2020,0.461,0.404,0.525,0.066,0.119,0.082,0.155,0.155,0.297,0.242,0.349,0.091,0.584,0.536,0.64,0.046,0.191,0.145,0.233,0.117,0.348,0.288,0.403,0.083,280,271.9,288.5,0,267.6,258.7,276.9,0
C2170,0.394,0.335,0.463,0.082,0.125,0.085,0.164,0.159,0.362,0.299,0.419,0.084,0.513,0.461,0.575,0.057,0.207,0.156,0.252,0.117,0.399,0.334,0.461,0.081,277.2,269.9,284.8,0,264,255.9,272.7,0
C4013,0.378,0.325,0.428,0.068,0.224,0.186,0.256,0.077,0.309,0.261,0.363,0.084,0.468,0.417,0.512,0.052,0.318,0.279,0.358,0.061,0.304,0.256,0.356,0.083,265.4,258.5,272.6,0,250.6,243.2,258.3,0
C5007,0.372,0.319,0.423,0.07,0.188,0.154,0.223,0.091,0.339,0.291,0.385,0.07,0.473,0.428,0.518,0.048,0.274,0.236,0.318,0.075,0.354,0.304,0.404,0.072,266.2,259.2,272.8,0,253.6,246.2,261.1,0
C5045,0.372,0.317,0.432,0.076,0.166,0.132,0.202,0.105,0.352,0.302,0.398,0.069,0.483,0.439,0.53,0.048,0.277,0.236,0.321,0.076,0.351,0.298,0.402,0.076,271.3,263.7,279.3,0,255.4,247.3,263.9,0
C6001,0.466,0.415,0.516,0.053,0.21,0.18,0.241,0.074,0.238,0.198,0.278,0.086,0.552,0.509,0.594,0.038,0.276,0.24,0.314,0.067,0.257,0.213,0.301,0.087,270.1,262.2,278.1,0,258.3,249.9,266.5,0
C6029,0.243,0.191,0.294,0.107,0.398,0.352,0.442,0.056,0.291,0.239,0.344,0.092,0.31,0.263,0.359,0.08,0.5,0.453,0.549,0.048,0.257,0.202,0.312,0.107,240.4,233.1,247.9,0,224,216.1,231.9,0
C6037,0.327,0.287,0.367,0.062,0.343,0.311,0.376,0.048,0.255,0.217,0.293,0.076,0.402,0.365,0.438,0.046,0.426,0.391,0.46,0.041,0.247,0.208,0.285,0.08,248.3,242.4,254.1,0,234.7,228.4,241.1,0
