ID,Total Population,% Male,% Hispanics,% White,% Blacks,% Asians,% Native Americans,% Hawaiian /Pacific Islander,% Other,% Less Than High School,% High School /GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management /Professional Occupation,% Service Occupation,% Sales /Office Occupation,% Natural Resources /Construction /Maitanance Occupation,% Military Occupation,% Production /Transportation /Moving Occupation,% No Health Insurance
1001,55036.0000,0.4888,0.0267,0.7660,0.1910,0.0094,0.0031,0.0008,0.0298,0.1230,0.3363,0.5407,0.2188,0.1159,0.2844,0.4003,0.2638,0.1372,0.2402,0.1293,55317.0000,0.5413,0.0302,0.2346,0.3483,0.1792,0.2264,0.0814,0.0112,0.1535,0.0878
1003,203360.0000,0.4894,0.0444,0.8653,0.0955,0.0069,0.0082,0.0000,0.0242,0.0979,0.2781,0.6241,0.0830,0.1474,0.3609,0.5083,0.2686,0.1185,0.2056,0.0810,52562.0000,0.5120,0.0307,0.2197,0.3607,0.1804,0.2570,0.0957,0.0004,0.1058,0.1079
1005,26201.0000,0.5334,0.0421,0.4656,0.4804,0.0063,0.0021,0.0000,0.0456,0.2691,0.3553,0.3757,0.2114,0.0736,0.6086,0.6822,0.1320,0.2720,0.4181,0.2654,33368.0000,0.3792,0.0572,0.3484,0.2543,0.1676,0.2252,0.1139,0.0000,0.2391,0.1231
1007,22580.0000,0.5426,0.0235,0.7672,0.2205,0.0000,0.0036,0.0000,0.0087,0.1786,0.4387,0.3826,0.1834,0.2591,0.3123,0.5714,0.1960,0.1524,0.2610,0.1283,43404.0000,0.4163,0.0388,0.3600,0.2453,0.1777,0.1962,0.1529,0.0000,0.2279,0.0810
1009,57667.0000,0.4940,0.0901,0.9545,0.0159,0.0015,0.0037,0.0000,0.0245,0.2022,0.3227,0.4751,0.2416,0.1140,0.6383,0.7523,0.1530,0.1563,0.2797,0.1067,47412.0000,0.4443,0.0227,0.3145,0.2858,0.1290,0.2335,0.1583,0.0000,0.1935,0.1103
1011,10478.0000,0.5360,0.0033,0.2194,0.7563,0.0070,0.0105,0.0000,0.0068,0.2864,0.3659,0.3477,0.3907,0.1486,0.2972,0.4458,0.3253,0.2845,0.3898,0.2458,29655.0000,0.4665,0.0677,0.2791,0.1970,0.1709,0.1860,0.1403,0.0000,0.3058,0.1409
1013,20126.0000,0.4679,0.0032,0.5240,0.4487,0.0111,0.0006,0.0000,0.0155,0.1895,0.4039,0.4066,0.4787,0.2808,0.3459,0.6267,0.0959,0.2440,0.3912,0.1930,36326.0000,0.4541,0.0396,0.2731,0.2700,0.1680,0.1829,0.1185,0.0007,0.2600,0.1136
1015,115527.0000,0.4812,0.0357,0.7456,0.2054,0.0099,0.0036,0.0001,0.0354,0.1678,0.3221,0.5100,0.2130,0.1221,0.3526,0.4747,0.2198,0.1864,0.2996,0.1783,43686.0000,0.4813,0.0561,0.2552,0.2871,0.1724,0.2377,0.1049,0.0032,0.1947,0.1044
1017,33895.0000,0.4815,0.0215,0.5768,0.3934,0.0100,0.0028,0.0000,0.0169,0.1915,0.3844,0.4242,0.1089,0.1746,0.3937,0.5683,0.1317,0.1884,0.3415,0.1641,37342.0000,0.5006,0.0354,0.2341,0.2462,0.1346,0.2319,0.1125,0.0000,0.2748,0.1218
1019,25855.0000,0.4975,0.0158,0.9310,0.0498,0.0019,0.0048,0.0000,0.0124,0.2048,0.3819,0.4133,0.0938,0.0411,0.2283,0.2694,0.5205,0.1614,0.2926,0.1722,40041.0000,0.4398,0.0248,0.2819,0.2859,0.1461,0.1822,0.1187,0.0000,0.2671,0.0902
1021,43805.0000,0.4920,0.0770,0.8332,0.0955,0.0043,0.0058,0.0000,0.0612,0.1815,0.4345,0.3840,0.2920,0.1256,0.6401,0.7657,0.1106,0.1938,0.3284,0.1825,43501.0000,0.4834,0.0368,0.2825,0.2507,0.1468,0.2397,0.1543,0.0010,0.2075,0.1479
1023,13188.0000,0.4760,0.0054,0.5654,0.4233,0.0006,0.0003,0.0000,0.0104,0.1991,0.3986,0.4024,0.0000,0.0244,0.4146,0.4390,0.1707,0.2234,0.3417,0.2574,32122.0000,0.3713,0.0428,0.3245,0.2392,0.1530,0.2170,0.1728,0.0000,0.2180,0.1096
1025,24625.0000,0.4731,0.0024,0.5323,0.4567,0.0052,0.0006,0.0009,0.0044,0.1853,0.4434,0.3713,0.1649,0.0076,0.1832,0.1908,0.6183,0.2527,0.3807,0.1941,33827.0000,0.3708,0.0703,0.3297,0.2179,0.1408,0.2457,0.1386,0.0000,0.2569,0.1087
1027,13407.0000,0.4827,0.0311,0.8315,0.1476,0.0004,0.0090,0.0000,0.0115,0.2671,0.3372,0.3958,0.1592,0.0000,0.8046,0.8046,0.1954,0.1910,0.3331,0.1491,37287.0000,0.4731,0.0344,0.2528,0.2264,0.1492,0.1875,0.1231,0.0000,0.3138,0.1316
