ID,Total Population,% Male,% Female,% Hispanic,% White,% Black,% Asian,% Native Americans,% Hawaiian/Pacific Islander,% Other,% Less Than High School,% High School/GED,% More Than High School,% Speak English Not Well,% Foreign-Born entered U.S. after 2010,% Foreign-Born entered U.S. 1990-2009,% Foreign-Born entered U.S. after 1990,% Foreign-Born entered U.S. before 1990,% Below 100 Poverty,% Below 150 Poverty,% SNAP/Food Stamps,Median HH Income,% Employed,% Unemployed,% Not in Labor Force,% Management/Professional Occupation,% Service Occupation,% Sales/Office Occupation,% Natural Resources/Construction/Maitanance Occupation,% Military Occupation,% Production/Transportation/Moving Occupation,% No Health Insurance
1001,55036,0.489,0.511,0.027,0.766,0.191,0.009,0.003,0.001,0.030,0.123,0.336,0.541,0.219,0.116,0.284,0.400,0.264,0.137,0.240,0.129,55317.000,0.541,0.030,0.235,0.348,0.179,0.226,0.081,0.011,0.153,0.088
1003,203360,0.489,0.511,0.044,0.865,0.095,0.007,0.008,0.000,0.024,0.098,0.278,0.624,0.083,0.147,0.361,0.508,0.269,0.118,0.206,0.081,52562.000,0.512,0.031,0.220,0.361,0.180,0.257,0.096,0.000,0.106,0.108
1005,26201,0.533,0.467,0.042,0.466,0.480,0.006,0.002,0.000,0.046,0.269,0.355,0.376,0.211,0.074,0.609,0.682,0.132,0.272,0.418,0.265,33368.000,0.379,0.057,0.348,0.254,0.168,0.225,0.114,0.000,0.239,0.123
1007,22580,0.543,0.457,0.024,0.767,0.221,0.000,0.004,0.000,0.009,0.179,0.439,0.383,0.183,0.259,0.312,0.571,0.196,0.152,0.261,0.128,43404.000,0.416,0.039,0.360,0.245,0.178,0.196,0.153,0.000,0.228,0.081
1009,57667,0.494,0.506,0.090,0.955,0.016,0.001,0.004,0.000,0.024,0.202,0.323,0.475,0.242,0.114,0.638,0.752,0.153,0.156,0.280,0.107,47412.000,0.444,0.023,0.314,0.286,0.129,0.233,0.158,0.000,0.193,0.110
1011,10478,0.536,0.464,0.003,0.219,0.756,0.007,0.010,0.000,0.007,0.286,0.366,0.348,0.391,0.149,0.297,0.446,0.325,0.285,0.390,0.246,29655.000,0.466,0.068,0.279,0.197,0.171,0.186,0.140,0.000,0.306,0.141
1013,20126,0.468,0.532,0.003,0.524,0.449,0.011,0.001,0.000,0.016,0.189,0.404,0.407,0.479,0.281,0.346,0.627,0.096,0.244,0.391,0.193,36326.000,0.454,0.040,0.273,0.270,0.168,0.183,0.118,0.001,0.260,0.114
1015,115527,0.481,0.519,0.036,0.746,0.205,0.010,0.004,0.000,0.035,0.168,0.322,0.510,0.213,0.122,0.353,0.475,0.220,0.186,0.300,0.178,43686.000,0.481,0.056,0.255,0.287,0.172,0.238,0.105,0.003,0.195,0.104
1017,33895,0.481,0.519,0.022,0.577,0.393,0.010,0.003,0.000,0.017,0.191,0.384,0.424,0.109,0.175,0.394,0.568,0.132,0.188,0.341,0.164,37342.000,0.501,0.035,0.234,0.246,0.135,0.232,0.112,0.000,0.275,0.122
1019,25855,0.497,0.503,0.016,0.931,0.050,0.002,0.005,0.000,0.012,0.205,0.382,0.413,0.094,0.041,0.228,0.269,0.521,0.161,0.293,0.172,40041.000,0.440,0.025,0.282,0.286,0.146,0.182,0.119,0.000,0.267,0.090
1021,43805,0.492,0.508,0.077,0.833,0.096,0.004,0.006,0.000,0.061,0.182,0.434,0.384,0.292,0.126,0.640,0.766,0.111,0.194,0.328,0.182,43501.000,0.483,0.037,0.283,0.251,0.147,0.240,0.154,0.001,0.208,0.148
1023,13188,0.476,0.524,0.005,0.565,0.423,0.001,0.000,0.000,0.010,0.199,0.399,0.402,0.000,0.024,0.415,0.439,0.171,0.223,0.342,0.257,32122.000,0.371,0.043,0.325,0.239,0.153,0.217,0.173,0.000,0.218,0.110
1025,24625,0.473,0.527,0.002,0.532,0.457,0.005,0.001,0.001,0.004,0.185,0.443,0.371,0.165,0.008,0.183,0.191,0.618,0.253,0.381,0.194,33827.000,0.371,0.070,0.330,0.218,0.141,0.246,0.139,0.000,0.257,0.109
1027,13407,0.483,0.517,0.031,0.832,0.148,0.000,0.009,0.000,0.011,0.267,0.337,0.396,0.159,0.000,0.805,0.805,0.195,0.191,0.333,0.149,37287.000,0.473,0.034,0.253,0.226,0.149,0.188,0.123,0.000,0.314,0.132
1029,14939,0.493,0.507,0.024,0.946,0.028,0.005,0.003,0.000,0.018,0.242,0.374,0.384,0.296,0.024,0.547,0.571,0.165,0.191,0.288,0.156,37396.000,0.464,0.041,0.259,0.246,0.122,0.234,0.180,0.000,0.219,0.144
1031,51073,0.494,0.506,0.067,0.763,0.173,0.013,0.011,0.000,0.041,0.146,0.293,0.561,0.197,0.100,0.282,0.382,0.227,0.161,0.249,0.133,49821.000,0.503,0.034,0.234,0.305,0.165,0.201,0.127,0.021,0.180,0.105
1033,54435,0.480,0.520,0.024,0.796,0.160,0.005,0.007,0.000,0.031,0.161,0.337,0.502,0.147,0.276,0.296,0.572,0.213,0.168,0.267,0.125,45477.000,0.476,0.037,0.254,0.273,0.152,0.260,0.114,0.002,0.199,0.086
1035,12649,0.478,0.522,0.018,0.513,0.465,0.000,0.002,0.000,0.020,0.210,0.480,0.310,0.000,0.137,0.187,0.324,0.417,0.264,0.402,0.176,30434.000,0.362,0.066,0.309,0.157,0.192,0.246,0.129,0.000,0.276,0.157
