ID,L1,L1-CL,L1-CU,L1-CV,L2,L2-CL,L2-CU,L2-CV,L3,L3-CL,L3-CU,L3-CV,LA,LA-CL,LA-CU,LA-CV,N1,N1-CL,N1-CU,N1-CV,N2,N2-CL,N2-CU,N2-CV,N3,N3-CL,N3-CU,N3-CV,NA,NA-CL,NA-CU,NA-CV
AK,0.127,0.092,0.162,0.138,0.329,0.274,0.381,0.082,0.544,0.498,0.597,0.047,276.7,270.5,283.3,0.012,0.208,0.165,0.246,0.098,0.373,0.318,0.423,0.073,0.419,0.371,0.475,0.062,263.7,257,270.7,0.013
AL,0.239,0.209,0.27,0.063,0.367,0.324,0.412,0.058,0.394,0.354,0.43,0.048,258.9,253.5,264.7,0.011,0.374,0.34,0.411,0.047,0.325,0.282,0.366,0.065,0.301,0.261,0.34,0.065,242.5,236.5,248.4,0.012
AR,0.231,0.203,0.261,0.063,0.376,0.337,0.417,0.053,0.392,0.357,0.429,0.045,258.7,253.6,263.8,0.01,0.357,0.326,0.392,0.046,0.347,0.304,0.387,0.059,0.296,0.258,0.335,0.065,242.6,237.1,248,0.011
AZ,0.234,0.199,0.265,0.07,0.316,0.272,0.368,0.078,0.45,0.402,0.491,0.051,262.4,256.6,268.6,0.012,0.332,0.297,0.369,0.055,0.307,0.263,0.354,0.076,0.361,0.314,0.404,0.063,247.4,241.1,253.9,0.013
C10001,0.224,0.188,0.263,0.084,0.369,0.32,0.418,0.068,0.408,0.358,0.455,0.059,260.3,250.7,269.5,0.018,0.343,0.298,0.387,0.065,0.356,0.303,0.413,0.079,0.301,0.239,0.359,0.099,244.7,234.2,255,0.021
C10003,0.193,0.16,0.232,0.093,0.337,0.291,0.386,0.071,0.47,0.423,0.514,0.048,265.9,257.9,273.3,0.015,0.302,0.261,0.345,0.07,0.348,0.298,0.401,0.076,0.351,0.295,0.4,0.076,250.2,241.7,258.1,0.017
C10005,0.211,0.175,0.248,0.084,0.368,0.321,0.415,0.065,0.421,0.373,0.466,0.054,262.2,252.4,271.8,0.018,0.315,0.272,0.358,0.068,0.37,0.318,0.423,0.071,0.315,0.258,0.372,0.091,248.1,237.7,258.5,0.021
C1001,0.205,0.169,0.241,0.086,0.384,0.335,0.435,0.067,0.411,0.359,0.46,0.06,261.7,252.1,271,0.018,0.328,0.285,0.374,0.067,0.363,0.31,0.418,0.076,0.309,0.25,0.369,0.095,246.8,236.6,257.2,0.021
C1003,0.161,0.125,0.197,0.11,0.347,0.297,0.399,0.075,0.493,0.44,0.543,0.051,270.3,260.6,279.9,0.018,0.261,0.22,0.307,0.084,0.353,0.298,0.408,0.079,0.386,0.326,0.444,0.077,257.1,246.5,267.4,0.02
C1005,0.394,0.343,0.445,0.067,0.404,0.338,0.47,0.084,0.201,0.143,0.261,0.152,235.9,225.4,246.1,0.023,0.581,0.521,0.641,0.052,0.273,0.202,0.34,0.128,0.146,0.078,0.214,0.233,215.7,204.5,226.6,0.026
